Change,Analyst,Recommendation,Date
Maintains,UBS,to Buy,11/8/2022
Maintains,Morgan Stanley,to Overweight,11/8/2022
Maintains,B of A Securities,to Neutral,11/7/2022
Maintains,Barclays,to Equal-Weight,11/7/2022
Maintains,Wedbush,to Outperform,10/28/2022
Maintains,Credit Suisse,to Outperform,10/28/2022
Maintains,Barclays,to Equal-Weight,10/28/2022
Maintains,Deutsche Bank,to Buy,10/28/2022
Maintains,Citigroup,to Buy,10/28/2022
Maintains,Keybanc,to Overweight,10/28/2022
Maintains,Morgan Stanley,to Overweight,10/17/2022
Maintains,Credit Suisse,to Outperform,10/13/2022
Maintains,Barclays,to Equal-Weight,10/11/2022
Upgrade,Rosenblatt,Neutral to Buy,9/29/2022
Downgrade,B of A Securities,Buy to Neutral,9/29/2022
Maintains,Evercore ISI Group,to Outperform,9/20/2022
Maintains,Keybanc,to Overweight,8/19/2022
Maintains,Wedbush,to Outperform,8/17/2022
Upgrade,Credit Suisse,Neutral to Outperform,8/17/2022
Maintains,Keybanc,to Overweight,8/2/2022
Maintains,Rosenblatt,to Neutral,7/29/2022
Maintains,Raymond James,to Outperform,7/29/2022
Maintains,Barclays,to Equal-Weight,7/29/2022
Maintains,Citigroup,to Buy,7/29/2022
Maintains,Wells Fargo,to Overweight,7/20/2022
Maintains,Morgan Stanley,to Overweight,7/20/2022
Maintains,Barclays,to Equal-Weight,7/13/2022
Maintains,Citigroup,to Buy,7/13/2022
Maintains,Keybanc,to Overweight,7/12/2022
Maintains,Evercore ISI Group,to Outperform,6/28/2022
Maintains,Morgan Stanley,to Overweight,6/15/2022
Maintains,Deutsche Bank,to Buy,6/14/2022
Maintains,B of A Securities,to Buy,5/19/2022
Maintains,Rosenblatt,to Neutral,5/2/2022
Maintains,Credit Suisse,to Neutral,4/29/2022
Maintains,Deutsche Bank,to Buy,4/29/2022
Maintains,Morgan Stanley,to Overweight,4/29/2022
Maintains,JP Morgan,to Overweight,4/29/2022
