Change,Analyst,Recommendation,Date
Upgrade,Odeon Capital,Sell to Hold,9/30/2022
Downgrade,Raymond James,Market Perform to Underperform,9/1/2022
Downgrade,Wedbush,Neutral to Underperform,8/18/2022
Downgrade,B. Riley Securities,Neutral to Sell,8/16/2022
Downgrade,Baird,Neutral to Underperform,8/9/2022
Downgrade,Odeon Capital,Buy to Hold,8/8/2022
Maintains,B. Riley Securities,to Neutral,6/30/2022
Maintains,Loop Capital,to Sell,6/30/2022
Maintains,Morgan Stanley,to Underweight,6/30/2022
Maintains,Telsey Advisory Group,to Underperformer,6/30/2022
Maintains,Keybanc,to Underweight,6/30/2022
Maintains,Keybanc,to Underweight,6/28/2022
Maintains,Baird,to Neutral,6/27/2022
Downgrade,B. Riley Securities,Buy to Neutral,6/27/2022
Maintains,B of A Securities,to Underperform,6/22/2022
Maintains,UBS,to Sell,6/22/2022
Maintains,Wedbush,to Neutral,6/22/2022
Maintains,Telsey Advisory Group,to Underperform,6/22/2022
Maintains,Keybanc,to Underweight,6/13/2022
Maintains,Wells Fargo,to Underweight,6/8/2022
Maintains,B. Riley Securities,to Buy,5/17/2022
Maintains,Morgan Stanley,to Underweight,4/14/2022
Maintains,Goldman Sachs,to Sell,8/31/2022
Downgrade,Telsey Advisory Group,Market Perform to Underperform,4/14/2022
Maintains,B. Riley Securities,to Buy,3/28/2022
Maintains,Telsey Advisory Group,to Market Perform,3/8/2022
Maintains,Goldman Sachs,to Sell,1/10/2022
Maintains,Telsey Advisory Group,to Market Perform,1/7/2022
Maintains,Keybanc,to Underweight,1/7/2022
Maintains,Keybanc,to Underweight,1/5/2022
Maintains,UBS,to Sell,1/4/2022
Downgrade,Loop Capital,Hold to Sell,11/3/2021
Maintains,Telsey Advisory Group,to Market Perform,11/3/2021
Downgrade,Morgan Stanley,Equal-Weight to Underweight,10/14/2021
Maintains,Keybanc,to Underweight,10/14/2021
Maintains,Morgan Stanley,to Equal-Weight,10/4/2021
Maintains,Credit Suisse,to Neutral,10/1/2021
Maintains,Telsey Advisory Group,to Market Perform,10/1/2021
Maintains,Keybanc,to Underweight,10/1/2021
Maintains,Telsey Advisory Group,to Market Perform,9/27/2021
Maintains,Morgan Stanley,to Equal-Weight,7/13/2021
Maintains,Credit Suisse,to Neutral,7/9/2021
Maintains,Baird,to Neutral,7/1/2021
Maintains,Loop Capital,to Hold,7/1/2021
Initiated,B. Riley Securities,to Buy,7/1/2021
Maintains,Telsey Advisory Group,to Market Perform,7/1/2021
Upgrade,B of A Securities,Neutral to Buy,6/24/2021
Maintains,Morgan Stanley,to Equal-Weight,4/23/2021
Maintains,Telsey Advisory Group,to Market Perform,4/15/2021
Maintains,Keybanc,to Underweight,4/15/2021
Upgrade,Odeon Capital,Hold to Buy,2/3/2021
Downgrade,KeyBanc,Sector Weight to Underweight,2/1/2021
Downgrade,B of A Securities,Buy to Neutral,1/28/2021
Downgrade,Telsey Advisory Group,Outperform to Market Perform,1/28/2021
Downgrade,Standpoint Research,Buy to Hold,1/27/2021
Downgrade,Wedbush,Outperform to Neutral,1/27/2021
Downgrade,Baird,Outperform to Neutral,1/27/2021
Downgrade,Raymond James,Strong Buy to Market Perform,1/26/2021
Upgrade,Telsey Advisory Group,Market Perform to Outperform,10/29/2020
Upgrade,Morgan Stanley,Underweight to Equal-Weight,10/29/2020
Maintains,Raymond James,to Strong Buy,10/14/2020
Maintains,Raymond James,to Strong Buy,10/2/2020
Maintains,B of A Securities,to Buy,9/25/2020
Upgrade,Baird,Neutral to Outperform,9/24/2020
Maintains,Raymond James,to Strong Buy,9/23/2020
Maintains,Morgan Stanley,to Underweight,7/9/2020
Maintains,Raymond James,to Strong Buy,7/9/2020
Maintains,UBS,to Neutral,7/9/2020
Maintains,Raymond James,to Strong Buy,7/7/2020
Maintains,B of A Securities,to Buy,6/26/2020
Maintains,Wedbush,to Outperform,6/16/2020
Maintains,Wells Fargo,to Underweight,6/10/2020
Maintains,JP Morgan,to Neutral,4/17/2020
Maintains,UBS,to Neutral,4/16/2020
Maintains,CFRA,to Sell,4/16/2020
Maintains,Credit Suisse,to Neutral,4/16/2020
Maintains,Raymond James,to Strong Buy,4/16/2020
Maintains,Wells Fargo,to Underweight,3/23/2020
Downgrade,KeyBanc,Overweight to Sector Weight,3/20/2020
Maintains,Loop Capital,to Hold,2/12/2020
Maintains,Raymond James,to Strong Buy,2/12/2020
Maintains,KeyBanc,to Overweight,2/12/2020
Initiated,Odeon Capital,to Buy,1/24/2020
Reiterates,Loop Capital,to Hold,12/18/2019
Maintains,Wedbush,to Outperform,12/17/2019
Upgrade,KeyBanc,Sector Weight to Overweight,10/15/2019
Upgrade,Telsey Advisory Group,Market Perform to Outperform,10/10/2019
Maintains,UBS,to Neutral,10/3/2019
Maintains,Jefferies,to Hold,10/3/2019
