Change,Analyst,Recommendation,Date
Maintains,Wedbush,to Underperform,7/22/2022
Maintains,Wedbush,to Underperform,3/18/2022
Maintains,Ascendiant Capital,to Sell,12/27/2021
Maintains,Wedbush,to Underperform,6/10/2021
Downgrade,Ascendiant Capital,Hold to Sell,4/12/2021
Downgrade,Wedbush,Neutral to Underperform,3/24/2021
Maintains,Telsey Advisory Group,to Underperform,3/24/2021
Maintains,B of A Securities,to Underperform,1/27/2021
Downgrade,Telsey Advisory Group,Outperform to Underperform,1/25/2021
Downgrade,Jefferies,Buy to Hold,10/12/2020
Upgrade,Telsey Advisory Group,Market Perform to Outperform,9/14/2020
Upgrade,Jefferies,Hold to Buy,9/14/2020
Maintains,Wedbush,to Neutral,9/8/2020
Maintains,Credit Suisse,to Underperform,6/5/2020
Downgrade,Wedbush,Outperform to Neutral,3/20/2020
Maintains,Baird,to Neutral,12/11/2019
Maintains,Credit Suisse,to Underperform,12/11/2019
Maintains,Benchmark,to Sell,9/11/2019
Maintains,Wedbush,to Outperform,9/11/2019
Maintains,Credit Suisse,to Underperform,5/20/2019
Reiterates,Wedbush,Outperform to Outperform,4/3/2019
Maintains,Credit Suisse,Underperform to Underperform,4/3/2019
Maintains,Wedbush,Outperform to Outperform,4/3/2019
Downgrade,Bank of America,Neutral to Underperform,3/8/2019
Downgrade,Baird,Outperform to Neutral,1/29/2019
Upgrade,Bank of America,Underperform to Neutral,11/26/2018
Initiated,Jefferies,to Buy,7/9/2018
Maintains,Credit Suisse,Neutral to Neutral,5/22/2018
Downgrade,Loop Capital,Buy to Hold,4/3/2018
Downgrade,Bank of America,Neutral to Underperform,3/29/2018
Maintains,Wedbush,to Outperform,3/24/2017
Downgrade,Telsey Advisory Group,Outperform to Market Perform,3/13/2017
Downgrade,Macquarie,Outperform to Neutral,1/12/2017
Upgrade,Standpoint Research,Hold to Buy,12/29/2016
Initiated,Mizuho,to Buy,12/23/2016
Initiated,Loop Capital,to Buy,12/7/2016
Maintains,Wedbush,to Outperform,11/2/2016
Downgrade,PiperJaffray,Overweight to Neutral,11/2/2016
Upgrade,Hilliard Lyons,Neutral to Buy,9/9/2016
Maintains,Baird,to Outperform,8/26/2016
Upgrade,Bank of America,Neutral to Buy,7/11/2016
Maintains,Credit Suisse,to Neutral,3/28/2016
Maintains,Benchmark,to Sell,3/28/2016
Maintains,Ascendiant Capital,to Buy,3/27/2016
Downgrade,Sterne Agee CRT,Buy to Neutral,1/4/2016
Downgrade,Oppenheimer,Outperform to Perform,11/24/2015
Downgrade,Bank of America,Buy to Neutral,11/23/2015
Downgrade,Pacific Crest,Overweight to Sector Weight,11/13/2015
Maintains,Wedbush,to Outperform,8/28/2015
Maintains,Oppenheimer,to Outperform,7/8/2015
Downgrade,B. Riley FBR,Buy to Neutral,5/5/2018
Upgrade,Pacific Crest,Underperform to Outperform,1/14/2015
Maintains,Credit Suisse,to Neutral,1/7/2015
Maintains,Bank of America,to Buy,11/24/2014
Maintains,Credit Suisse,to Neutral,11/21/2014
Maintains,Credit Suisse,to Neutral,11/21/2014
Downgrade,Telsey Advisory Group,Outperform to Market Perform,11/21/2014
Upgrade,Hilliard Lyons,Underperform to Neutral,10/15/2014
Upgrade,Bank of America,Neutral to Buy,4/4/2014
Downgrade,Longbow Research,Neutral to Underperform,2/27/2014
Downgrade,Bank of America,Buy to Neutral,1/14/2014
Downgrade,Stifel Nicolaus,Buy to Hold,1/7/2014
Initiated,Benchmark,to Hold,12/19/2013
Upgrade,Needham,Hold to Buy,11/22/2013
Maintains,Wedbush,to Outperform,11/18/2013
Initiated,Stifel Nicolaus,to Buy,10/29/2013
Upgrade,Monness Crespi Hardt,Sell to Neutral,8/22/2013
Maintains,Oppenheimer,to Outperform,8/20/2013
Downgrade,CL King,Strong Buy to Neutral,8/7/2013
Downgrade,Hilliard Lyons,Neutral to Underperform,8/5/2013
Downgrade,Credit Suisse,Outperform to Neutral,8/2/2013
Initiated,Bank of America,to Buy,6/28/2013
Upgrade,Oppenheimer,Market Perform to Outperform,6/14/2013
Downgrade,National Alliance,Market Perform to Sell,5/24/2013
Downgrade,National Alliance,Market Perform to Sell,5/24/2013
Maintains,Wedbush,to Outperform,5/20/2013
Maintains,Ascendiant Capital,to Buy,5/17/2013
Maintains,Oppenheimer,to Perform,3/26/2013
Upgrade,PiperJaffray,Neutral to Overweight,2/1/2013
Maintains,PiperJaffray,to Neutral,1/8/2013
Maintains,Ascendiant Capital,to Buy,11/16/2012
Maintains,PiperJaffray,to Neutral,10/9/2012
Maintains,PiperJaffray,to Neutral,9/13/2012
Maintains,National Alliance,to Market Perform,9/5/2012
Upgrade,Goldman Sachs,Neutral to Buy,9/4/2012
Maintains,Ascendiant Capital,to Buy,8/17/2012
