Change,Analyst,Recommendation,Date
Maintains,Oppenheimer, to Outperform,10/26/2022
Maintains,Deutsche Bank, to Buy,10/26/2022
Maintains,Cowen & Co., to Outperform,10/26/2022
Maintains,Raymond James, to Outperform,10/26/2022
Maintains,JP Morgan, to Overweight,10/26/2022
Maintains,Piper Sandler, to Overweight,10/26/2022
Maintains,Deutsche Bank, to Buy,10/21/2022
Maintains,JP Morgan, to Overweight,10/21/2022
Maintains,Raymond James, to Outperform,7/27/2022
Maintains,Piper Sandler, to Overweight,7/27/2022
Maintains,Deutsche Bank, to Buy,7/21/2022
Maintains,Oppenheimer, to Outperform,7/19/2022
Maintains,Citigroup, to Buy,7/14/2022
Maintains,Cowen & Co., to Outperform,7/13/2022
Maintains,Evercore ISI Group, to Outperform,7/7/2022
Maintains,Raymond James, to Outperform,4/27/2022
Initiated,Deutsche Bank, to Buy,3/11/2022
Maintains,Jefferies, to Buy,2/2/2022
Maintains,JP Morgan, to Overweight,2/2/2022
Maintains,Credit Suisse, to Outperform,2/2/2022
Maintains,Raymond James, to Outperform,2/2/2022
Maintains,Oppenheimer, to Outperform,10/27/2021
Maintains,Raymond James, to Outperform,10/27/2021
Maintains,BMO Capital, to Outperform,7/28/2021
Maintains,Piper Sandler, to Overweight,7/28/2021
Maintains,Oppenheimer, to Outperform,7/28/2021
Maintains,Raymond James, to Outperform,7/28/2021
Maintains,Piper Sandler, to Overweight,4/28/2021
Maintains,Credit Suisse, to Outperform,4/28/2021
Maintains,Oppenheimer, to Outperform,4/28/2021
Maintains,Raymond James, to Outperform,4/28/2021
Maintains,Oppenheimer, to Outperform,4/19/2021
Maintains,Canaccord Genuity, to Buy,4/19/2021
Maintains,Cowen & Co., to Outperform,4/15/2021
Maintains,Citigroup, to Buy,2/12/2021
Maintains,JP Morgan, to Overweight,2/3/2021
Maintains,Morgan Stanley, to Overweight,2/3/2021
Maintains,Raymond James, to Outperform,2/3/2021
Maintains,Credit Suisse, to Outperform,1/22/2021
Maintains,Mizuho, to Buy,10/30/2020
Maintains,Credit Suisse, to Outperform,10/30/2020
Maintains,Raymond James, to Outperform,10/30/2020
Maintains,UBS, to Buy,8/25/2020
Maintains,Raymond James, to Outperform,7/31/2020
Maintains,Deutsche Bank, to Buy,7/28/2020
Maintains,Deutsche Bank, to Buy,5/5/2020
Maintains,UBS, to Buy,4/29/2020
Maintains,Credit Suisse, to Outperform,4/20/2020
Maintains,Oppenheimer, to Outperform,4/17/2020
Maintains,UBS, to Buy,3/30/2020
Maintains,JP Morgan, to Overweight,3/18/2020
Maintains,CFRA, to Strong Buy,2/6/2020
Maintains,Deutsche Bank, to Buy,2/4/2020
Maintains,Raymond James, to Outperform,2/4/2020
Maintains,Piper Sandler, to Overweight,2/4/2020
Maintains,UBS, to Buy,1/17/2020
Upgrade,Pivotal Research, Hold to Buy,1/6/2020
Initiated,PiperJaffray, to Overweight,12/3/2019
Maintains,UBS, to Buy,10/29/2019
Maintains,Deutsche Bank, to Buy,10/29/2019
Maintains,Raymond James, to Outperform,10/29/2019
Maintains,Credit Suisse, to Outperform,10/23/2019
Maintains,Deutsche Bank, to Buy,5/15/2019
Maintains,PiperJaffray, Overweight to Overweight,2/5/2019
Maintains,Deutsche Bank, Buy to Buy,2/5/2019
Maintains,Deutsche Bank, Buy to Buy,1/23/2019
Maintains,Raymond James, Outperform to Outperform,10/26/2018
Maintains,Deutsche Bank, Buy to Buy,10/23/2018
Maintains,Raymond James, Outperform to Outperform,7/24/2018
Maintains,Cowen & Co., Outperform to Outperform,7/24/2018
Maintains,Cowen & Co., Outperform to Outperform,7/13/2018
Maintains,Deutsche Bank, Buy to Buy,4/24/2018
Maintains,JP Morgan, Overweight to Overweight,4/24/2018
Maintains,PiperJaffray, Overweight to Overweight,2/2/2018
Maintains,UBS, to Buy,10/27/2017
Maintains,Oppenheimer, to Outperform,10/27/2017
Maintains,Deutsche Bank, to Buy,7/25/2017
Maintains,Bank of America, to Buy,7/25/2017
Maintains,Deutsche Bank, to Buy,7/21/2017
Maintains,JP Morgan, to Overweight,7/29/2016
Maintains,Deutsche Bank, to Buy,4/22/2016
Maintains,Oppenheimer, to Outperform,2/2/2016
Maintains,JP Morgan, to Overweight,2/2/2016
Maintains,Jefferies, to Buy,2/2/2016
Maintains,Deutsche Bank, to Buy,2/2/2016
Maintains,Deutsche Bank, to Buy,10/23/2015
Maintains,Credit Suisse, Outperform to Outperform,10/23/2015
Maintains,B. Riley FBR, to Buy,5/5/2018
Maintains,Pivotal Research, to Hold,10/23/2015
Maintains,Pacific Crest, to Overweight,10/23/2015
Maintains,RBC Capital, to Outperform,10/23/2015
Maintains,JMP Securities, to Market Outperform,10/23/2015
Maintains,JP Morgan, to Overweight,10/23/2015
Maintains,Jefferies, to Buy,10/23/2015
Maintains,Nomura, to Buy,10/23/2015
Maintains,Cowen & Co., to Outperform,10/23/2015
Maintains,Canaccord Genuity, to Buy,10/23/2015
Upgrade,Oppenheimer, Perform to Outperform,10/2/2015
Initiated,Moffett Nathanson, to Buy,9/8/2015
Upgrade,Atlantic Equities, Neutral to Overweight,8/19/2015
Upgrade,Morgan Stanley, Equal-Weight to Overweight,8/11/2015
Maintains,Deutsche Bank, to Buy,8/11/2015
Upgrade,Stifel Nicolaus, Hold to Buy,8/11/2015
Upgrade,Mizuho, Neutral to Buy,8/11/2015
Upgrade,Monness Crespi Hardt, Neutral to Buy,8/11/2015
Upgrade,Stifel Nicolaus, Hold to Buy,8/10/2015
Initiated,Susquehanna, to Positive,8/10/2015
Maintains,Credit Suisse, to Outperform,7/17/2015
Maintains,B. Riley FBR, to Buy,5/5/2018
Initiated,Mizuho, to Neutral,6/26/2015
Initiated,Axiom Capital, to Hold,3/2/2015
Maintains,JMP Securities, to Market Outperform,1/30/2015
Initiated,Societe Generale, to Buy,1/22/2015
Downgrade,Atlantic Equities, Overweight to Neutral,1/12/2015
Maintains,Evercore ISI Group, Buy to Buy,1/8/2015
Maintains,JP Morgan, to Overweight,12/16/2014
Downgrade,Bank of America, Buy to Neutral,12/5/2014
Maintains,Credit Suisse, to Outperform,11/20/2014
Initiated,Morgan Stanley, to Equal-weight,11/3/2014
Initiated,"Monness, Crespi, Hardt", to Neutral,10/27/2014
Maintains,Pacific Crest, to Outperform,10/17/2014
Maintains,SunTrust Robinson Humphrey, to Buy,10/17/2014
Maintains,Topeka, to Buy,10/17/2014
Maintains,Credit Suisse, to Outperform,10/14/2014
Upgrade,Hudson Square, Hold to Buy,10/13/2014
Maintains,Susquehanna, to Positive,10/10/2014
Maintains,UBS, to Buy,7/18/2014
Maintains,Raymond James, to Outperform,7/18/2014
Maintains,JP Morgan, to Overweight,7/18/2014
Maintains,Deutsche Bank, to Buy,7/18/2014
Maintains,Credit Suisse, to Outperform,7/18/2014
