Change,Analyst,Recommendation,Date
Maintains,Deutsche Bank,to Hold,10/14/2022
Initiated,Wedbush,to Outperform,10/11/2022
Maintains,Morgan Stanley,to Overweight,10/4/2022
Maintains,Credit Suisse,to Outperform,10/3/2022
Maintains,Wells Fargo,to Overweight,10/3/2022
Maintains,HSBC,to Buy,9/6/2022
Maintains,Deutsche Bank,to Hold,7/27/2022
Maintains,Morgan Stanley,to Overweight,7/27/2022
Maintains,UBS,to Buy,7/27/2022
Maintains,JP Morgan,to Overweight,7/20/2022
Downgrade,DZ Bank,Buy to Hold,4/28/2022
Maintains,Guggenheim,to Buy,4/26/2022
Maintains,Deutsche Bank,to Hold,4/26/2022
Maintains,Credit Suisse,to Outperform,4/26/2022
Maintains,Cowen & Co.,to Market Perform,4/26/2022
Maintains,HSBC,to Buy,4/26/2022
Maintains,RBC Capital,to Outperform,4/26/2022
Maintains,Citigroup,to Neutral,4/26/2022
Maintains,JP Morgan,to Overweight,3/30/2022
Maintains,Deutsche Bank,to Hold,2/11/2022
Maintains,Morgan Stanley,to Overweight,2/11/2022
Maintains,Morgan Stanley,to Overweight,2/8/2022
Upgrade,Guggenheim,Neutral to Buy,1/4/2022
Upgrade,JP Morgan,Neutral to Overweight,12/13/2021
Maintains,RBC Capital,to Outperform,10/28/2021
Maintains,Morgan Stanley,to Overweight,7/22/2021
Maintains,Morgan Stanley,to Overweight,6/4/2021
Maintains,Morgan Stanley,to Overweight,4/19/2021
Initiated,DA Davidson,to Peer Perform,4/13/2021
Upgrade,RBC Capital,Sector Perform to Outperform,3/8/2021
Initiated,Bernstein,to Outperform,1/20/2021
Maintains,Morgan Stanley,to Overweight,1/14/2021
Downgrade,JP Morgan,Overweight to Neutral,1/7/2021
Downgrade,Deutsche bank,Buy to Hold,1/6/2021
Downgrade,RBC Capital,Outperform to Sector Perform,1/4/2021
Initiated,Wells Fargo,to Overweight,12/8/2020
Maintains,UBS,to Buy,11/25/2020
Maintains,Morgan Stanley,to Overweight,11/25/2020
Upgrade,Morgan Stanley,Equal-Weight to Overweight,7/22/2020
Maintains,Morgan Stanley,to Equal-Weight,6/8/2020
Maintains,Citigroup,to Neutral,4/22/2020
Maintains,Jefferies,to Hold,4/22/2020
Maintains,UBS,to Buy,4/22/2020
Maintains,RBC Capital,to Outperform,4/22/2020
Maintains,CFRA,to Strong Buy,4/21/2020
Maintains,Morgan Stanley,to Equal-Weight,3/31/2020
Upgrade,Argus Research,Hold to Buy,3/27/2020
Upgrade,DZ Bank,Hold to Buy,3/25/2020
Upgrade,HSBC,Hold to Buy,3/24/2020
Upgrade,JP Morgan,Neutral to Overweight,3/23/2020
Maintains,Deutsche Bank,to Buy,3/20/2020
Maintains,Morgan Stanley,to Overweight,1/31/2020
Maintains,B of A Securities,to Buy,1/31/2020
Maintains,RBC Capital,to Outperform,1/31/2020
Maintains,Deutsche Bank,to Buy,1/31/2020
Maintains,UBS,to Buy,1/31/2020
Maintains,Citigroup,to Neutral,1/31/2020
Maintains,Morgan Stanley,to Overweight,1/21/2020
Upgrade,Credit Suisse,Neutral to Outperform,1/9/2020
Maintains,Deutsche Bank,to Buy,12/12/2019
Upgrade,UBS,Neutral to Buy,10/23/2019
Maintains,BMO Capital,to Market Perform,10/21/2019
Initiated,Atlantic Equities,to Overweight,7/29/2019
Maintains,BMO Capital,to Market Perform,7/24/2019
Maintains,JP Morgan,to Neutral,7/24/2019
Maintains,Morgan Stanley,to Overweight,7/24/2019
Maintains,Credit Suisse,to Neutral,7/24/2019
Maintains,Deutsche Bank,to Buy,7/24/2019
Maintains,Morgan Stanley,to Overweight,7/1/2019
Upgrade,Morgan Stanley,Equal-Weight to Overweight,5/14/2019
Maintains,UBS,to Neutral,4/24/2019
Maintains,Deutsche Bank,Buy to Buy,4/24/2019
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,4/24/2019
Maintains,Wells Fargo,Outperform to Outperform,4/16/2019
Downgrade,HSBC,Buy to Hold,3/12/2019
Initiated,Credit Suisse,to Neutral,3/7/2019
Downgrade,Citigroup,Buy to Neutral,2/15/2019
Downgrade,UBS,Buy to Neutral,12/13/2018
Maintains,Jefferies,Hold to Hold,10/31/2018
Maintains,Deutsche Bank,Buy to Buy,10/31/2018
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,10/31/2018
Initiated,Guggenheim,to Buy,9/14/2018
Upgrade,Barclays,Equal-Weight to Overweight,5/17/2018
Upgrade,Goldman Sachs,Sell to Neutral,4/17/2018
Maintains,BMO Capital,Market Perform to Market Perform,2/20/2018
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,2/20/2018
Maintains,JP Morgan,Neutral to Neutral,2/20/2018
Maintains,Credit Suisse,Outperform to Outperform,2/20/2018
Upgrade,Evercore ISI Group,In-Line to Outperform,1/12/2018
Initiated,Deutsche Bank,to Buy,12/14/2017
Maintains,Wells Fargo,to Outperform,11/14/2017
Upgrade,Wells Fargo,Market Perform to Outperform,11/14/2017
Maintains,Credit Suisse,to Outperform,10/26/2017
Maintains,Morgan Stanley,to Equal-Weight,10/26/2017
Maintains,Bank of America,to Buy,10/9/2017
Maintains,BMO Capital,to Market Perform,7/31/2017
Initiated,Daiwa Capital,to Outperform,6/13/2017
Downgrade,BMO Capital,Outperform to Market Perform,6/7/2017
Upgrade,Credit Suisse,Neutral to Outperform,4/19/2017
Initiated,JP Morgan,to Neutral,3/21/2017
Downgrade,Wells Fargo,Outperform to Market Perform,1/19/2017
Downgrade,Goldman Sachs,Neutral to Sell,1/9/2017
Initiated,Barclays,to Equal-Weight,1/9/2017
Downgrade,Morgan Stanley,Overweight to Equal-Weight,12/16/2016
Downgrade,Deutsche Bank,Buy to Hold,12/13/2016
Downgrade,Stifel Nicolaus,Buy to Hold,9/29/2016
Initiated,Credit Suisse,to Neutral,9/15/2016
Maintains,Stifel Nicolaus,to Buy,7/28/2016
Maintains,Jefferies,to Hold,7/28/2016
Maintains,Goldman Sachs,to Neutral,6/29/2016
Maintains,UBS,to Buy,4/21/2016
Maintains,Goldman Sachs,to Neutral,4/21/2016
Maintains,Citigroup,to Buy,4/21/2016
Maintains,Susquehanna,to Neutral,3/15/2016
Maintains,RBC Capital,to Outperform,3/10/2016
Downgrade,Sterne Agee CRT,Buy to Neutral,2/26/2016
Maintains,HSBC,to Buy,2/24/2016
Upgrade,Susquehanna,Negative to Neutral,2/5/2016
Upgrade,UBS,Neutral to Buy,2/5/2016
Maintains,Barclays,to Equal-Weight,1/29/2016
Maintains,Barclays,to Equal-Weight,1/28/2016
Maintains,Jefferies,to Hold,1/25/2016
Upgrade,Stifel Nicolaus,to Buy,1/12/2016
Downgrade,Tigress Financial,Buy to Neutral,12/4/2015
Downgrade,Tigress Financial,Buy to Neutral,12/4/2015
Maintains,JP Morgan,to Neutral,10/20/2015
Upgrade,UBS,Neutral to Buy,7/14/2015
Upgrade,BMO Capital,Market Perform to Outperform,6/1/2015
Initiated,Susquehanna,to Negative,4/14/2015
Initiated,Evercore ISI Group,to Hold,4/7/2015
Maintains,Jefferies,to Hold,2/11/2015
Maintains,Jefferies,to Hold,1/26/2015
Upgrade,Morgan Stanley,Equal-weight to Overweight,1/5/2015
Maintains,Jefferies,to Hold,12/16/2014
Upgrade,Tigress Financial,Neutral to Buy,12/2/2014
Downgrade,Societe Generale,Hold to Sell,10/22/2014
Initiated,Cowen & Co.,to Market Perform,9/16/2014
Initiated,Brasil Plural,to Overweight,8/25/2014
Maintains,Nomura,to Buy,7/23/2014
Downgrade,Societe Generale,Buy to Hold,7/18/2014
Maintains,Nomura,to Buy,7/16/2014
Initiated,Jefferies,to Hold,6/9/2014
Initiated,Nomura,to Buy,4/29/2014
Maintains,JP Morgan,to Neutral,4/25/2014
Maintains,Deutsche Bank,to Buy,3/21/2014
Maintains,Goldman Sachs,to Neutral,3/16/2014
Initiated,UBS,to Neutral,3/4/2014
Initiated,Societe Generale,to Buy,1/30/2014
Initiated,Janney Capital,to Buy,12/12/2013
Initiated,Standpoint Research,to Sell,12/2/2013
Initiated,RBC Capital,to Outperform,11/25/2013
Maintains,SunTrust Robinson Humphrey,to Buy,9/19/2013
Downgrade,CLSA,Outperform to Underperform,9/3/2013
Initiated,SunTrust Robinson Humphrey,to Buy,6/24/2013
