Change,Analyst,Recommendation,Date
Upgrade,JP Morgan,Neutral to Overweight,12/16/2022
Maintains,Morgan Stanley,to Equal-Weight,11/15/2022
Maintains,Oppenheimer,to Outperform,11/14/2022
Maintains,Rosenblatt,to Neutral,11/10/2022
Upgrade,Itau BBA,Market Perform to Outperform,11/7/2022
Maintains,Tigress Financial,to Strong Buy,11/2/2022
Downgrade,Edward Jones,Buy to Hold,10/28/2022
Maintains,Goldman Sachs,to Buy,10/27/2022
Maintains,MKM Partners,to Buy,10/27/2022
Maintains,Stifel,to Buy,10/27/2022
Maintains,Deutsche Bank,to Buy,10/27/2022
Maintains,Canaccord Genuity,to Buy,10/27/2022
Maintains,Truist Securities,to Buy,10/27/2022
Maintains,JP Morgan,to Neutral,10/27/2022
Maintains,B of A Securities,to Neutral,10/27/2022
Maintains,UBS,to Buy,10/27/2022
Maintains,Guggenheim,to Buy,10/27/2022
Maintains,Raymond James,to Outperform,10/27/2022
Maintains,Citigroup,to Buy,10/27/2022
Maintains,Rosenblatt,to Neutral,10/27/2022
Maintains,JMP Securities,to Market Outperform,10/27/2022
Maintains,Oppenheimer,to Outperform,10/27/2022
Maintains,Bernstein,to Outperform,10/27/2022
Maintains,Credit Suisse,to Outperform,10/27/2022
Maintains,Wolfe Research,to Outperform,10/27/2022
Maintains,Mizuho,to Buy,10/27/2022
Maintains,Barclays,to Overweight,10/27/2022
Maintains,Piper Sandler,to Neutral,10/27/2022
Downgrade,Morgan Stanley,Overweight to Equal-Weight,10/27/2022
Downgrade,Cowen & Co.,Outperform to Market Perform,10/27/2022
Downgrade,Keybanc,Overweight to Sector Weight,10/27/2022
Maintains,Jefferies,to Buy,10/25/2022
Maintains,Keybanc,to Overweight,10/25/2022
Maintains,Mizuho,to Buy,10/24/2022
Downgrade,B of A Securities,Buy to Neutral,10/24/2022
Maintains,Deutsche Bank,to Buy,10/21/2022
Maintains,JP Morgan,to Neutral,10/21/2022
Maintains,MKM Partners,to Buy,10/19/2022
Maintains,Cowen & Co.,to Outperform,10/13/2022
Maintains,Credit Suisse,to Outperform,10/11/2022
Downgrade,Atlantic Equities,Overweight to Neutral,10/11/2022
Maintains,Morgan Stanley,to Overweight,10/10/2022
Maintains,Goldman Sachs,to Buy,10/6/2022
Maintains,B of A Securities,to Buy,10/4/2022
Maintains,Truist Securities,to Buy,9/28/2022
Maintains,Piper Sandler,to Neutral,9/12/2022
Maintains,Rosenblatt,to Neutral,9/7/2022
Maintains,Loop Capital,to Hold,8/22/2022
Maintains,Morgan Stanley,to Overweight,8/19/2022
Downgrade,DZ Bank,Hold to Sell,7/29/2022
Maintains,RBC Capital,to Outperform,7/28/2022
Maintains,UBS,to Buy,7/28/2022
Maintains,Evercore ISI Group,to Outperform,7/28/2022
Maintains,MKM Partners,to Buy,7/28/2022
Maintains,Stifel,to Buy,7/28/2022
Maintains,Truist Securities,to Buy,7/28/2022
Maintains,B of A Securities,to Buy,7/28/2022
Maintains,Deutsche Bank,to Buy,7/28/2022
Maintains,Wells Fargo,to Overweight,7/28/2022
Maintains,Barclays,to Overweight,7/28/2022
Maintains,Rosenblatt,to Neutral,7/28/2022
Maintains,Goldman Sachs,to Buy,7/28/2022
Maintains,Wolfe Research,to Outperform,7/28/2022
Maintains,JP Morgan,to Neutral,7/28/2022
Maintains,Mizuho,to Buy,7/28/2022
Maintains,Credit Suisse,to Outperform,7/28/2022
Maintains,JMP Securities,to Market Outperform,7/28/2022
Maintains,Raymond James,to Outperform,7/28/2022
Maintains,Citigroup,to Buy,7/28/2022
Maintains,Oppenheimer,to Outperform,7/28/2022
Maintains,Piper Sandler,to Neutral,7/28/2022
Maintains,Keybanc,to Overweight,7/28/2022
Maintains,Keybanc,to Overweight,7/26/2022
Maintains,Mizuho,to Buy,7/25/2022
Maintains,Rosenblatt,to Neutral,7/25/2022
Maintains,Deutsche Bank,to Buy,7/21/2022
Maintains,Morgan Stanley,to Overweight,7/19/2022
Maintains,Credit Suisse,to Outperform,7/19/2022
Maintains,Citigroup,to Buy,7/14/2022
Maintains,Cowen & Co.,to Outperform,7/13/2022
Downgrade,Needham,Hold to Underperform,7/11/2022
Maintains,Evercore ISI Group,to Outperform,7/7/2022
Maintains,Barclays,to Overweight,7/5/2022
Maintains,JMP Securities,to Market Outperform,6/30/2022
Maintains,JP Morgan,to Neutral,6/29/2022
Maintains,UBS,to Buy,6/16/2022
Maintains,Goldman Sachs,to Buy,6/10/2022
Maintains,Piper Sandler,to Neutral,6/2/2022
Maintains,Morgan Stanley,to Overweight,6/1/2022
Maintains,Jefferies,to Buy,5/24/2022
Maintains,Guggenheim,to Buy,5/18/2022
Maintains,Evercore ISI Group,to Outperform,4/28/2022
Maintains,Canaccord Genuity,to Buy,4/28/2022
Maintains,Rosenblatt,to Neutral,4/28/2022
Maintains,Wedbush,to Neutral,4/28/2022
Maintains,Credit Suisse,to Outperform,4/28/2022
Maintains,Truist Securities,to Buy,4/28/2022
Maintains,BMO Capital,to Market Perform,4/28/2022
Maintains,Susquehanna,to Positive,4/28/2022
Maintains,Raymond James,to Outperform,4/28/2022
Maintains,Morgan Stanley,to Overweight,4/28/2022
Maintains,Piper Sandler,to Neutral,4/28/2022
Maintains,Mizuho,to Buy,4/25/2022
Maintains,Credit Suisse,to Outperform,4/21/2022
Upgrade,Citigroup,Neutral to Buy,4/20/2022
Maintains,JMP Securities,to Market Outperform,4/19/2022
Initiated,Rosenblatt,to Neutral,4/19/2022
Maintains,RBC Capital,to Outperform,4/13/2022
Maintains,UBS,to Buy,4/5/2022
Initiated,Deutsche Bank,to Buy,3/11/2022
Maintains,Piper Sandler,to Neutral,3/8/2022
Maintains,Morgan Stanley,to Overweight,3/2/2022
Initiated,Benchmark,to Hold,3/1/2022
Downgrade,KGI Securities,Outperform to Neutral,2/8/2022
Downgrade,Argus Research,Buy to Hold,2/4/2022
Maintains,Rosenblatt,to Buy,2/4/2022
Downgrade,China Renaissance,Buy to Hold,2/4/2022
Downgrade,DZ Bank,Hold to Sell,2/4/2022
Downgrade,Loop Capital,Buy to Hold,2/3/2022
Maintains,Credit Suisse,to Outperform,2/3/2022
Maintains,Morgan Stanley,to Overweight,2/3/2022
