Change,Analyst,Recommendation,Date
Maintains,Mizuho,to Neutral,10/26/2022
Maintains,Morgan Stanley,to Underweight,10/26/2022
Maintains,RBC Capital,to Underperform,10/26/2022
Maintains,Wells Fargo,to Equal-Weight,10/26/2022
Maintains,Deutsche Bank,to Hold,10/13/2022
Maintains,Morgan Stanley,to Underweight,10/12/2022
Maintains,Goldman Sachs,to Neutral,10/11/2022
Maintains,Barclays,to Underweight,10/3/2022
Upgrade,UBS,Sell to Neutral,9/9/2022
Maintains,Deutsche Bank,to Hold,9/9/2022
Maintains,Wells Fargo,to Equal-Weight,9/8/2022
Maintains,Credit Suisse,to Neutral,7/27/2022
Maintains,Deutsche Bank,to Hold,7/27/2022
Maintains,Morgan Stanley,to Underweight,7/27/2022
Maintains,Wells Fargo,to Equal-Weight,7/27/2022
Maintains,Mizuho,to Neutral,7/27/2022
Maintains,Barclays,to Underweight,7/27/2022
Maintains,Citigroup,to Neutral,7/27/2022
Maintains,Mizuho,to Neutral,7/18/2022
Maintains,Morgan Stanley,to Underweight,7/15/2022
Maintains,Deutsche Bank,to Hold,7/13/2022
Maintains,Wells Fargo,to Equal-Weight,7/13/2022
Maintains,Barclays,to Underweight,7/8/2022
Maintains,Wells Fargo,to Equal-Weight,6/29/2022
Maintains,Jefferies,to Hold,6/16/2022
Downgrade,Argus Research,Buy to Hold,4/28/2022
Maintains,Barclays,to Underweight,4/27/2022
Maintains,Credit Suisse,to Neutral,4/27/2022
Maintains,Morgan Stanley,to Underweight,4/27/2022
Maintains,RBC Capital,to Underperform,4/27/2022
Maintains,Deutsche Bank,to Hold,4/14/2022
Maintains,Morgan Stanley,to Underweight,4/7/2022
Maintains,Barclays,to Underweight,4/4/2022
Maintains,Jefferies,to Hold,3/15/2022
Maintains,UBS,to Sell,3/11/2022
Downgrade,Morgan Stanley,Equal-Weight to Underweight,2/17/2022
Maintains,Wells Fargo,to Equal-Weight,2/15/2022
Maintains,RBC Capital,to Underperform,2/15/2022
Maintains,Credit Suisse,to Neutral,2/15/2022
Maintains,Deutsche Bank,to Hold,2/15/2022
Maintains,Citigroup,to Neutral,2/15/2022
Maintains,Barclays,to Underweight,2/15/2022
Maintains,Mizuho,to Neutral,2/15/2022
Maintains,Credit Suisse,to Neutral,1/26/2022
Maintains,Wells Fargo,to Equal-Weight,1/26/2022
Maintains,Barclays,to Underweight,1/26/2022
Maintains,Morgan Stanley,to Equal-Weight,1/14/2022
Initiated,Bernstein,to Market Perform,1/11/2022
Downgrade,RBC Capital,Sector Perform to Underperform,1/5/2022
Maintains,Barclays,to Underweight,1/4/2022
Initiated,Mizuho,to Neutral,12/17/2021
Maintains,Credit Suisse,to Neutral,12/15/2021
Maintains,Deutsche Bank,to Hold,12/10/2021
Maintains,RBC Capital,to Sector Perform,12/3/2021
Maintains,Credit Suisse,to Neutral,10/27/2021
Maintains,Morgan Stanley,to Equal-Weight,10/27/2021
Initiated,Wells Fargo,to Equal-Weight,10/8/2021
Maintains,Morgan Stanley,to Equal-Weight,10/7/2021
Maintains,Barclays,to Underweight,10/4/2021
Downgrade,JP Morgan,Overweight to Neutral,10/4/2021
Maintains,UBS,to Sell,9/17/2021
Maintains,Deutsche Bank,to Hold,7/28/2021
Maintains,Morgan Stanley,to Equal-Weight,7/28/2021
Maintains,Deutsche Bank,to Hold,7/14/2021
Downgrade,Wolfe Research,Peer Perform to Underperform,7/12/2021
Downgrade,Credit Suisse,Outperform to Neutral,7/6/2021
Maintains,Credit Suisse,to Outperform,4/28/2021
Maintains,RBC Capital,to Sector Perform,4/28/2021
Maintains,Morgan Stanley,to Equal-Weight,4/12/2021
Maintains,Barclays,to Underweight,4/6/2021
Maintains,Credit Suisse,to Outperform,3/23/2021
Upgrade,Argus Research,Hold to Buy,2/3/2021
Maintains,Credit Suisse,to Outperform,1/27/2021
Upgrade,JP Morgan,Neutral to Overweight,1/27/2021
Maintains,Morgan Stanley,to Equal-Weight,1/12/2021
Downgrade,B of A Securities,Neutral to Underperform,1/7/2021
Maintains,Morgan Stanley,to Equal-Weight,11/25/2020
Maintains,Morgan Stanley,to Equal-Weight,10/13/2020
Upgrade,Gordon Haskett,Underperform to Hold,10/7/2020
Maintains,Credit Suisse,to Outperform,9/16/2020
Maintains,Credit Suisse,to Outperform,7/29/2020
Maintains,Morgan Stanley,to Equal-Weight,7/29/2020
Maintains,Barclays,to Underweight,7/29/2020
Maintains,Barclays,to Underweight,7/7/2020
Maintains,Morgan Stanley,to Equal-Weight,5/1/2020
Maintains,B of A Securities,to Neutral,4/29/2020
Maintains,Barclays,to Underweight,4/29/2020
Maintains,Citigroup,to Neutral,4/29/2020
Maintains,Credit Suisse,to Outperform,4/29/2020
Maintains,Deutsche Bank,to Hold,4/29/2020
Maintains,Deutsche Bank,to Hold,4/9/2020
Maintains,Citigroup,to Neutral,4/2/2020
Downgrade,Gordon Haskett,Hold to Underperform,3/30/2020
Maintains,Goldman Sachs,to Neutral,3/27/2020
Maintains,Morgan Stanley,to Equal-Weight,4/1/2020
Maintains,Morgan Stanley,to Equal-Weight,1/29/2020
Maintains,Citigroup,to Neutral,1/29/2020
Upgrade,Wolfe Research,Underperform to Peer Perform,1/9/2020
Upgrade,JP Morgan,Underweight to Neutral,12/23/2019
Downgrade,Citigroup,Buy to Neutral,12/9/2019
Maintains,Deutsche Bank,to Hold,12/4/2019
Maintains,Barclays,to Underweight,10/28/2019
Maintains,Morgan Stanley,to Equal-Weight,10/25/2019
Maintains,Citigroup,to Buy,10/15/2019
Maintains,JP Morgan,to Underweight,10/10/2019
Maintains,Morgan Stanley,to Equal-Weight,9/27/2019
Maintains,JP Morgan,to Underweight,8/6/2019
Maintains,Morgan Stanley,to Equal-Weight,7/29/2019
Maintains,Credit Suisse,to Outperform,7/26/2019
Maintains,UBS,to Neutral,7/12/2019
Downgrade,RBC Capital,Outperform to Sector Perform,7/9/2019
Maintains,Bank of America,to Neutral,6/27/2019
Maintains,Morgan Stanley,to Equal-Weight,5/24/2019
Downgrade,Gordon Haskett,Buy to Hold,4/29/2019
Maintains,Deutsche Bank,Hold to Hold,4/26/2019
Downgrade,Argus,Buy to Hold,4/26/2019
Maintains,Barclays,Underweight to Underweight,4/3/2019
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,3/22/2019
Maintains,Barclays,Underweight to Underweight,1/3/2019
Maintains,Barclays,Underweight to Underweight,11/19/2018
Maintains,Deutsche Bank,Hold to Hold,11/16/2018
Maintains,Credit Suisse,Outperform to Outperform,10/24/2018
Maintains,Argus,Buy to Buy,10/24/2018
Maintains,UBS,Neutral to Neutral,10/24/2018
Maintains,Barclays,Underweight to Underweight,10/24/2018
Maintains,Citigroup,Buy to Buy,10/24/2018
Initiated,Credit Suisse,to Outperform,10/12/2018
Maintains,Deutsche Bank,Hold to Hold,9/28/2018
Maintains,UBS,Neutral to Neutral,8/30/2018
Initiated,Morgan Stanley,to Equal-Weight,8/21/2018
Maintains,Barclays,Underweight to Underweight,7/25/2018
Downgrade,Jefferies,Buy to Hold,5/16/2018
Upgrade,RBC Capital,Sector Perform to Outperform,5/3/2018
Maintains,UBS,Neutral to Neutral,4/26/2018
Maintains,JP Morgan,Underweight to Underweight,4/26/2018
Maintains,Barclays,Underweight to Underweight,4/25/2018
Maintains,Argus,Buy to Buy,4/25/2018
Maintains,Stifel Nicolaus,Hold to Hold,4/25/2018
Maintains,Stifel Nicolaus,Hold to Hold,4/3/2018
Maintains,Barclays,Underweight to Underweight,3/26/2018
Initiated,Barclays,to Underweight,2/15/2018
Maintains,UBS,Neutral to Neutral,1/26/2018
Upgrade,Hilliard Lyons,Neutral to Buy,1/24/2018
Initiated,UBS,to Neutral,1/23/2018
Maintains,Citigroup,to Buy,10/25/2017
Maintains,Credit Suisse,to Outperform,10/25/2017
Maintains,Bank of America,to Buy,10/25/2017
Maintains,Argus,to Buy,10/25/2017
Upgrade,Goldman Sachs,Sell to Neutral,10/25/2017
Maintains,Stifel Nicolaus,to Hold,10/25/2017
Maintains,Citigroup,to Buy,10/10/2017
Maintains,Citigroup,to Buy,10/9/2017
Maintains,Morgan Stanley,to Underweight,10/2/2017
Downgrade,JP Morgan,Neutral to Underweight,9/20/2017
Maintains,Morgan Stanley,to Underweight,7/26/2017
Maintains,Citigroup,to Buy,7/26/2017
Maintains,Morgan Stanley,to Underweight,7/11/2017
Upgrade,RBC Capital,Underperform to Sector Perform,12/7/2016
Maintains,Jefferies,to Buy,11/28/2016
Downgrade,Goldman Sachs,Neutral to Sell,11/21/2016
Upgrade,Barclays,Equal-Weight to Overweight,10/24/2016
Maintains,Citigroup,to Buy,4/19/2016
Maintains,Jefferies,to Buy,4/12/2016
Maintains,Bernstein,to Market Perform,3/30/2016
Maintains,UBS,to Buy,3/30/2016
Maintains,Morgan Stanley,to Underweight,3/30/2016
Maintains,Credit Suisse,to Outperform,3/15/2016
Maintains,Credit Suisse,to Outperform,3/14/2016
Maintains,Deutsche Bank,to Hold,1/28/2016
Initiated,Citigroup,to Buy,1/21/2016
Maintains,Credit Suisse,to Outperform,12/16/2015
Maintains,Barclays,to Equal-Weight,10/23/2015
Maintains,Barclays,to Equal-Weight,10/5/2015
Upgrade,Credit Suisse,Neutral to Outperform,9/25/2015
Maintains,Deutsche Bank,to Hold,6/24/2015
Maintains,Barclays,to Equal-Weight,4/24/2015
Maintains,Barclays,to Equal-Weight,3/17/2015
Maintains,Jefferies,to Buy,1/29/2015
Maintains,Barclays,to Equal-Weight,1/28/2015
Initiated,UBS,to Buy,1/22/2015
Maintains,JP Morgan,to Neutral,1/15/2015
Maintains,Barclays,to Equal-Weight,1/12/2015
Downgrade,Hilliard Lyons,Long-Term Buy to Neutral,1/5/2015
Maintains,Credit Suisse,to Neutral,12/17/2014
Maintains,Morgan Stanley,to Underweight,12/17/2014
Maintains,Bank of America,to Buy,12/17/2014
Initiated,RBC Capital,to Underperform,11/25/2014
Maintains,Credit Suisse,to Neutral,10/24/2014
Maintains,Barclays,to Equal-Weight,10/6/2014
Maintains,Morgan Stanley,to Underweight,10/2/2014
Initiated,Stifel,to Hold,9/17/2014
Maintains,Citigroup,to Neutral,7/25/2014
Maintains,Deutsche Bank,to Hold,7/25/2014
Upgrade,Argus Capital,Hold to Buy,7/8/2014
Maintains,Deutsche Bank,to Hold,4/25/2014
Maintains,William Blair,to Market Perform,2/25/2014
Maintains,Bernstein,to Market Perform,2/25/2014
Maintains,Ladenburg Thalmann,to Hold,12/26/2013
Upgrade,JP Morgan,Underweight to Neutral,12/20/2013
Maintains,Hilliard Lyons,to Long-Term Buy,12/19/2013
Maintains,Barclays,to Equal-Weight,12/18/2013
Maintains,Citigroup,to Neutral,12/18/2013
Maintains,Bank of America,to Buy,12/18/2013
Upgrade,Nomura,Neutral to Buy,12/11/2013
Downgrade,Morgan Stanley,Equal-weight to Underweight,12/2/2013
Maintains,FBR Capital,to Outperform,10/25/2013
Maintains,Nomura,to Neutral,10/25/2013
Maintains,Deutsche Bank,to Hold,8/5/2013
Maintains,Nomura,to Neutral,7/26/2013
Downgrade,Morgan Stanley,Overweight to Equal-Weight,7/1/2013
Maintains,Jefferies,to Buy,6/10/2013
Maintains,Jefferies,to Buy,6/7/2013
Maintains,Morgan Stanley,to Overweight,3/18/2013
Maintains,Citigroup,to Neutral,3/18/2013
Initiated,Tigress Financial,to Buy,3/6/2013
Maintains,UBS,to Buy,1/29/2013
Maintains,Deutsche Bank,to Hold,1/25/2013
Maintains,Credit Suisse,to Neutral,1/25/2013
Downgrade,JP Morgan,Neutral to Underweight,1/11/2013
Maintains,Jefferies,to Buy,1/3/2013
Maintains,JP Morgan,to Neutral,12/14/2012
Maintains,Deutsche Bank,to Hold,12/13/2012
Upgrade,Nomura,Reduce to Neutral,11/9/2012
Maintains,Jefferies,to Buy,10/24/2012
Maintains,Deutsche Bank,to Hold,10/24/2012
Maintains,Jefferies,to Buy,9/24/2012
Maintains,JP Morgan,to Neutral,9/10/2012
Maintains,Citigroup,to Neutral,9/5/2012
Upgrade,Morgan Stanley,Equal-Weight to Overweight,7/16/2012
Maintains,Citigroup,to Neutral,7/12/2012
