Change,Analyst,Recommendation,Date
Initiated,Macquarie,to Neutral,11/2/2022
Maintains,Rosenblatt,to Buy,10/27/2022
Maintains,BMO Capital,to Outperform,10/26/2022
Maintains,Evercore ISI Group,to Outperform,10/26/2022
Maintains,Wolfe Research,to Outperform,10/26/2022
Maintains,Wedbush,to Outperform,10/26/2022
Maintains,RBC Capital,to Outperform,10/26/2022
Maintains,Wells Fargo,to Overweight,10/26/2022
Maintains,Cowen & Co.,to Outperform,10/26/2022
Maintains,Stifel,to Buy,10/26/2022
Maintains,Raymond James,to Outperform,10/26/2022
Maintains,Morgan Stanley,to Overweight,10/26/2022
Maintains,Mizuho,to Buy,10/26/2022
Maintains,Deutsche Bank,to Buy,10/26/2022
Maintains,Credit Suisse,to Outperform,10/26/2022
Maintains,Barclays,to Overweight,10/26/2022
Maintains,Jefferies,to Buy,10/26/2022
Maintains,Piper Sandler,to Overweight,10/26/2022
Maintains,UBS,to Buy,10/20/2022
Maintains,Rosenblatt,to Buy,10/20/2022
Maintains,Piper Sandler,to Overweight,10/20/2022
Maintains,Cowen & Co.,to Outperform,10/19/2022
Maintains,Citigroup,to Buy,10/19/2022
Maintains,Deutsche Bank,to Buy,10/18/2022
Maintains,Barclays,to Overweight,10/18/2022
Maintains,Mizuho,to Buy,10/17/2022
Maintains,Morgan Stanley,to Overweight,10/14/2022
Maintains,Wells Fargo,to Overweight,10/12/2022
Maintains,Oppenheimer,to Outperform,10/4/2022
Initiated,MoffettNathanson,to Hold,9/22/2022
Initiated,Guggenheim,to Neutral,8/12/2022
Maintains,Wolfe Research,to Outperform,7/29/2022
Maintains,Cowen & Co.,to Outperform,7/27/2022
Maintains,Deutsche Bank,to Buy,7/27/2022
Maintains,JP Morgan,to Overweight,7/27/2022
Maintains,Stifel,to Buy,7/27/2022
Maintains,Wedbush,to Outperform,7/27/2022
Maintains,BMO Capital,to Outperform,7/27/2022
Maintains,Citigroup,to Buy,7/27/2022
Maintains,Rosenblatt,to Buy,7/26/2022
Maintains,Wells Fargo,to Overweight,7/25/2022
Maintains,Cowen & Co.,to Outperform,7/22/2022
Maintains,Mizuho,to Buy,7/19/2022
Maintains,Citigroup,to Buy,7/19/2022
Maintains,BMO Capital,to Outperform,7/15/2022
Maintains,Morgan Stanley,to Overweight,7/12/2022
Maintains,Piper Sandler,to Overweight,7/8/2022
Maintains,Keybanc,to Overweight,7/7/2022
Maintains,Jefferies,to Buy,6/13/2022
Maintains,Barclays,to Overweight,6/10/2022
Maintains,Jefferies,to Buy,5/23/2022
Maintains,Wedbush,to Outperform,4/27/2022
Maintains,Stifel,to Buy,4/27/2022
Maintains,Deutsche Bank,to Buy,4/27/2022
Maintains,Wolfe Research,to Outperform,4/27/2022
Maintains,BMO Capital,to Outperform,4/26/2022
Maintains,Citigroup,to Buy,4/19/2022
Maintains,Wells Fargo,to Overweight,4/19/2022
Maintains,Tigress Financial,to Buy,2/4/2022
Maintains,Citigroup,to Buy,1/26/2022
Maintains,Morgan Stanley,to Overweight,1/26/2022
Maintains,Oppenheimer,to Outperform,1/26/2022
Maintains,BMO Capital,to Outperform,1/26/2022
Initiated,SMBC Nikko,to Outperform,12/22/2021
Initiated,Deutsche Bank,to Buy,11/2/2021
Maintains,Citigroup,to Buy,10/28/2021
Maintains,Morgan Stanley,to Overweight,10/27/2021
Maintains,Barclays,to Overweight,10/27/2021
Maintains,Credit Suisse,to Outperform,10/27/2021
Maintains,Goldman Sachs,to Buy,10/27/2021
Maintains,Stifel,to Buy,10/27/2021
Maintains,Piper Sandler,to Overweight,10/27/2021
Maintains,Keybanc,to Overweight,10/25/2021
Maintains,Wedbush,to Outperform,10/20/2021
Maintains,Jefferies,to Buy,10/20/2021
Maintains,Barclays,to Overweight,9/17/2021
Maintains,Morgan Stanley,to Overweight,9/14/2021
Maintains,Wedbush,to Outperform,8/20/2021
Maintains,JP Morgan,to Overweight,7/29/2021
Maintains,Credit Suisse,to Outperform,7/28/2021
Maintains,Mizuho,to Buy,7/28/2021
Maintains,Citigroup,to Buy,7/28/2021
Maintains,Barclays,to Overweight,7/28/2021
Maintains,Morgan Stanley,to Overweight,7/28/2021
Maintains,Stifel,to Buy,7/28/2021
Maintains,Rosenblatt,to Buy,7/28/2021
Maintains,Barclays,to Overweight,7/23/2021
Maintains,Cowen & Co.,to Outperform,7/22/2021
Maintains,Citigroup,to Buy,1/3/2022
Maintains,Keybanc,to Overweight,1/3/2022
Maintains,Stifel,to Buy,7/21/2021
Maintains,Rosenblatt,to Buy,7/21/2021
Maintains,Mizuho,to Buy,7/16/2021
Maintains,Jefferies,to Buy,6/28/2021
Maintains,Wedbush,to Outperform,6/23/2021
Initiated,KGI Securities,to Outperform,6/2/2021
Maintains,Jefferies,to Buy,5/18/2021
Initiated,Rosenblatt,to Buy,5/13/2021
Maintains,Morgan Stanley,to Overweight,4/28/2021
Maintains,Mizuho,to Buy,4/28/2021
Maintains,Credit Suisse,to Outperform,4/28/2021
Maintains,Raymond James,to Strong Buy,4/28/2021
Maintains,Barclays,to Overweight,4/28/2021
Maintains,Keybanc,to Overweight,4/26/2021
Initiated,Wolfe Research,to Outperform,4/23/2021
Maintains,B of A Securities,to Buy,4/21/2021
Maintains,Citigroup,to Buy,4/21/2021
Maintains,Argus Research,to Buy,4/13/2021
Maintains,BMO Capital,to Outperform,4/12/2021
Maintains,Morgan Stanley,to Overweight,3/5/2021
Maintains,Wedbush,to Outperform,2/16/2021
Reiterates,Piper Sandler,to Overweight,2/2/2021
Maintains,Argus Research,to Buy,1/28/2021
Maintains,B of A Securities,to Buy,1/27/2021
Maintains,Oppenheimer,to Outperform,1/27/2021
Maintains,Barclays,to Overweight,1/27/2021
Maintains,BMO Capital,to Outperform,1/27/2021
Maintains,Mizuho,to Buy,1/27/2021
Maintains,Citigroup,to Buy,1/27/2021
Maintains,Jefferies,to Buy,1/27/2021
Maintains,Raymond James,to Strong Buy,1/27/2021
Maintains,Credit Suisse,to Outperform,1/27/2021
Maintains,Morgan Stanley,to Overweight,1/27/2021
Maintains,Wedbush,to Outperform,1/27/2021
Maintains,Piper Sandler,to Overweight,1/27/2021
Initiated,Goldman Sachs,to Buy,1/22/2021
Upgrade,Citigroup,Neutral to Buy,12/21/2020
Initiated,KeyBanc,to Overweight,11/24/2020
Upgrade,Oppenheimer,Perform to Outperform,11/5/2020
Maintains,Deutsche Bank,to Buy,10/29/2020
Maintains,Credit Suisse,to Outperform,10/28/2020
Maintains,Morgan Stanley,to Overweight,10/28/2020
Maintains,Piper Sandler,to Overweight,10/28/2020
Maintains,Barclays,to Overweight,10/23/2020
Maintains,Stifel,to Buy,10/20/2020
Initiated,UBS,to Buy,10/14/2020
Maintains,RBC Capital,to Outperform,10/13/2020
Maintains,Morgan Stanley,to Overweight,9/9/2020
Downgrade,Oppenheimer,Outperform to Perform,7/23/2020
Maintains,Piper Sandler,to Overweight,7/23/2020
Maintains,Raymond James,to Strong Buy,7/20/2020
Maintains,Jefferies,to Buy,7/20/2020
Maintains,Barclays,to Overweight,7/20/2020
Maintains,Morgan Stanley,to Overweight,7/9/2020
Maintains,Wedbush,to Outperform,7/9/2020
Maintains,Goldman Sachs,to Buy,6/24/2020
Maintains,Argus Research,to Buy,6/24/2020
Reiterates,RBC Capital,to Outperform,5/18/2020
Maintains,Wells Fargo,to Overweight,4/30/2020
Maintains,BMO Capital,to Outperform,4/30/2020
Maintains,UBS,to Buy,4/30/2020
Maintains,Credit Suisse,to Outperform,4/30/2020
Maintains,Morgan Stanley,to Overweight,4/30/2020
Maintains,Mizuho,to Buy,4/30/2020
Maintains,Citigroup,to Neutral,4/30/2020
Maintains,Jefferies,to Buy,4/28/2020
Maintains,RBC Capital,to Outperform,4/24/2020
Maintains,Mizuho,to Buy,4/21/2020
Maintains,Raymond James,to Strong Buy,4/3/2020
Maintains,Citigroup,to Neutral,3/31/2020
Maintains,Piper Sandler,to Overweight,3/31/2020
Maintains,Morgan Stanley,to Overweight,3/25/2020
Maintains,Deutsche Bank,to Buy,3/17/2020
Maintains,CFRA,to Buy,2/3/2020
Maintains,Nomura,to Buy,1/31/2020
Maintains,Oppenheimer,to Outperform,1/30/2020
Maintains,Stifel Nicolaus,to Buy,1/30/2020
Maintains,Morgan Stanley,to Overweight,1/30/2020
Maintains,Credit Suisse,to Outperform,1/30/2020
Maintains,BMO Capital,to Outperform,1/30/2020
Maintains,Wells Fargo,to Overweight,1/30/2020
Maintains,UBS,to Buy,1/30/2020
Maintains,Piper Sandler,to Overweight,1/30/2020
Maintains,Raymond James,to Strong Buy,1/30/2020
Maintains,Stifel,to Buy,1/30/2020
Maintains,Wedbush,to Outperform,1/30/2020
Maintains,RBC Capital,to Outperform,1/30/2020
Maintains,Citigroup,to Neutral,1/30/2020
Maintains,Mizuho,to Buy,1/30/2020
Maintains,Piper Sandler,to Overweight,1/23/2020
Maintains,RBC Capital,to Outperform,1/21/2020
Maintains,Wells Fargo,to Overweight,1/16/2020
Maintains,Credit Suisse,to Outperform,1/13/2020
Maintains,Jefferies,to Buy,1/10/2020
Maintains,Wedbush,to Outperform,1/9/2020
Maintains,Cowen & Co.,to Outperform,1/9/2020
Maintains,Morgan Stanley,to Overweight,1/8/2020
Maintains,Wedbush,to Outperform,12/17/2019
Maintains,Deutsche Bank,to Buy,12/17/2019
Maintains,Mizuho,to Buy,10/28/2019
Maintains,Barclays,to Overweight,10/24/2019
Maintains,Stifel,to Buy,10/24/2019
Maintains,Citi,to Neutral,10/24/2019
Maintains,Morgan Stanley,to Overweight,10/24/2019
Maintains,BMO Capital,to Outperform,10/24/2019
Maintains,Wedbush,to Outperform,10/24/2019
Upgrade,Jefferies,Hold to Buy,10/8/2019
Maintains,BMO Capital,to Outperform,7/19/2019
Maintains,Citigroup,to Neutral,7/19/2019
Maintains,Canaccord Genuity,to Buy,7/19/2019
Maintains,Morgan Stanley,to Overweight,7/19/2019
Maintains,Raymond James,to Strong Buy,7/19/2019
Maintains,Credit Suisse,to Outperform,7/19/2019
Maintains,Stifel Nicolaus,to Buy,7/19/2019
Maintains,KeyBanc,to Overweight,7/19/2019
Maintains,Wells Fargo,to Outperform,7/12/2019
Initiated,Cowen & Co.,to Outperform,7/11/2019
Maintains,Jefferies,to Underperform,6/25/2019
Maintains,Deutsche Bank,to Buy,6/19/2019
Maintains,Raymond James,Strong Buy to Strong Buy,4/25/2019
Maintains,Nomura,Buy to Buy,4/25/2019
Maintains,BMO Capital,Outperform to Outperform,4/25/2019
Maintains,Bank of America,Buy to Buy,4/25/2019
Maintains,UBS,Buy to Buy,4/25/2019
Maintains,Barclays,Overweight to Overweight,4/25/2019
Maintains,Deutsche Bank,Buy to Buy,4/25/2019
Maintains,Morgan Stanley,Overweight to Overweight,4/25/2019
Maintains,KeyBanc,Overweight to Overweight,4/25/2019
Maintains,Wedbush,Outperform to Outperform,4/25/2019
Maintains,KeyBanc,Overweight to Overweight,4/17/2019
Maintains,Barclays,Overweight to Overweight,4/12/2019
Initiated,Mizuho,to Buy,3/14/2019
Maintains,Nomura,Buy to Buy,1/31/2019
Maintains,Citigroup,Neutral to Neutral,10/25/2018
Maintains,Nomura,Buy to Buy,10/25/2018
Maintains,KeyBanc,Overweight to Overweight,10/25/2018
Initiated,Wedbush,to Outperform,10/19/2018
Upgrade,Macquarie,Neutral to Outperform,10/12/2018
Maintains,Barclays,Overweight to Overweight,9/7/2018
