Change,Analyst,Recommendation,Date
Maintains,Morgan Stanley,to Overweight,11/11/2022
Maintains,BMO Capital,to Outperform,10/31/2022
Maintains,Morgan Stanley,to Overweight,10/21/2022
Maintains,Keybanc,to Overweight,10/20/2022
Maintains,Wells Fargo,to Overweight,10/19/2022
Maintains,Morgan Stanley,to Overweight,9/29/2022
Maintains,Morgan Stanley,to Overweight,9/22/2022
Maintains,BMO Capital,to Outperform,9/16/2022
Maintains,Guggenheim,to Buy,9/12/2022
Upgrade,Morgan Stanley,Equal-Weight to Overweight,9/6/2022
Maintains,Morgan Stanley,to Equal-Weight,8/18/2022
Maintains,Wells Fargo,to Overweight,8/9/2022
Downgrade,Seaport Global,Buy to Neutral,7/26/2022
Maintains,Morgan Stanley,to Equal-Weight,7/21/2022
Maintains,Keybanc,to Overweight,7/19/2022
Maintains,Barclays,to Equal-Weight,7/18/2022
Maintains,Morgan Stanley,to Equal-Weight,6/13/2022
Maintains,BMO Capital,to Outperform,6/13/2022
Maintains,Morgan Stanley,to Equal-Weight,5/23/2022
Maintains,Mizuho,to Buy,4/25/2022
Maintains,Morgan Stanley,to Equal-Weight,4/20/2022
Maintains,Wells Fargo,to Overweight,4/18/2022
Maintains,Keybanc,to Overweight,4/7/2022
Maintains,Morgan Stanley,to Equal-Weight,3/22/2022
Upgrade,Keybanc,Sector Weight to Overweight,3/7/2022
Maintains,Morgan Stanley,to Equal-Weight,2/18/2022
Maintains,Wells Fargo,to Overweight,1/26/2022
Maintains,Morgan Stanley,to Equal-Weight,1/21/2022
Maintains,Morgan Stanley,to Equal-Weight,1/6/2022
Maintains,Morgan Stanley,to Equal-Weight,12/21/2021
Maintains,BMO Capital,to Outperform,12/8/2021
Maintains,Morgan Stanley,to Equal-Weight,11/22/2021
Maintains,Morgan Stanley,to Equal-Weight,9/17/2021
Maintains,Morgan Stanley,to Equal-Weight,8/19/2021
Maintains,Morgan Stanley,to Equal-Weight,7/20/2021
Maintains,Morgan Stanley,to Equal-Weight,6/21/2021
Maintains,Morgan Stanley,to Equal-Weight,5/18/2021
Maintains,Morgan Stanley,to Equal-Weight,4/20/2021
Maintains,Barclays,to Equal-Weight,4/13/2021
Maintains,Morgan Stanley,to Equal-Weight,3/10/2021
Upgrade,Credit Suisse,Neutral to Outperform,3/8/2021
Initiated,Bernstein,to Outperform,3/3/2021
Maintains,Morgan Stanley,to Equal-Weight,2/18/2021
Maintains,Credit Suisse,to Neutral,1/27/2021
Maintains,Wells Fargo,to Overweight,1/27/2021
Maintains,Morgan Stanley,to Equal-Weight,1/20/2021
Maintains,Morgan Stanley,to Equal-Weight,1/12/2021
Maintains,Credit Suisse,to Neutral,1/6/2021
Maintains,Morgan Stanley,to Equal-Weight,12/15/2020
Initiated,Piper Sandler,to Overweight,11/19/2020
Maintains,Morgan Stanley,to Equal-Weight,11/17/2020
Maintains,Morgan Stanley,to Equal-Weight,11/5/2020
Maintains,Morgan Stanley,to Equal-Weight,11/25/2020
Maintains,Morgan Stanley,to Equal-Weight,10/20/2020
Maintains,Credit Suisse,to Neutral,10/19/2020
Maintains,Wells Fargo,to Overweight,10/6/2020
Maintains,Morgan Stanley,to Equal-Weight,10/5/2020
Initiated,Seaport Global,to Buy,9/24/2020
Maintains,Morgan Stanley,to Equal-Weight,9/18/2020
Upgrade,Wells Fargo,Equal-Weight to Overweight,9/15/2020
Initiated,Atlantic Equities,to Overweight,9/4/2020
Maintains,Credit Suisse,to Neutral,7/27/2020
Maintains,UBS,to Buy,6/22/2020
Maintains,Morgan Stanley,to Equal-Weight,6/17/2020
Maintains,UBS,to Buy,6/5/2020
Maintains,Morgan Stanley,to Equal-Weight,5/15/2020
Maintains,Credit Suisse,to Neutral,4/17/2020
Downgrade,Morgan Stanley,Overweight to Equal-Weight,4/14/2020
Maintains,Barclays,to Equal-Weight,3/26/2020
Maintains,UBS,to Buy,3/16/2020
Maintains,Morgan Stanley,to Overweight,3/12/2020
Maintains,UBS,to Buy,2/21/2020
Initiated,BMO Capital,to Outperform,2/20/2020
Maintains,Morgan Stanley,to Overweight,2/14/2020
Maintains,Morgan Stanley,to Overweight,1/29/2020
Downgrade,Evercore ISI Group,Outperform to In-Line,1/27/2020
Maintains,Morgan Stanley,to Overweight,1/22/2020
Downgrade,KeyBanc,Overweight to Sector Weight,1/17/2020
Downgrade,Goldman Sachs,Buy to Neutral,1/16/2020
Maintains,Credit Suisse,to Outperform,1/3/2020
Maintains,Morgan Stanley,to Overweight,12/16/2019
Maintains,Mizuho,to Buy,12/13/2019
Maintains,Wells Fargo,to Outperform,10/23/2019
Maintains,KeyBanc,to Overweight,10/21/2019
Maintains,Morgan Stanley,to Overweight,10/17/2019
Maintains,JP Morgan,to Overweight,10/14/2019
Maintains,Guggenheim,to Buy,10/9/2019
Maintains,UBS,to Buy,9/6/2019
Maintains,Morgan Stanley,to Overweight,8/16/2019
Maintains,Morgan Stanley,to Overweight,8/13/2019
Downgrade,Barclays,Overweight to Equal-Weight,8/13/2019
Maintains,Credit Suisse,to Outperform,7/26/2019
Maintains,Bank of America,to Buy,6/25/2019
Maintains,Morgan Stanley,to Overweight,6/21/2019
Maintains,Morgan Stanley,to Overweight,6/14/2019
Maintains,UBS,to Buy,6/7/2019
Maintains,Morgan Stanley,to Overweight,5/16/2019
Upgrade,Scotiabank,Sector Perform to Outperform,5/9/2019
Upgrade,Barclays,Equal-Weight to Overweight,3/20/2019
Maintains,Morgan Stanley,Overweight to Overweight,2/12/2019
Maintains,Credit Suisse,Outperform to Outperform,12/12/2018
Maintains,Barclays,Equal-Weight to Equal-Weight,11/19/2018
Maintains,Argus,Buy to Buy,11/5/2018
Maintains,Argus,Buy to Buy,10/31/2018
Maintains,Credit Suisse,Outperform to Outperform,10/24/2018
Maintains,Wells Fargo,Outperform to Outperform,10/10/2018
Maintains,Morgan Stanley,Overweight to Overweight,9/21/2018
Maintains,Wells Fargo,Outperform to Outperform,9/17/2018
Maintains,Morgan Stanley,Overweight to Overweight,9/11/2018
Initiated,Mizuho,to Buy,8/13/2018
Maintains,KeyBanc,Overweight to Overweight,7/19/2018
Maintains,Morgan Stanley,Overweight to Overweight,7/16/2018
Initiated,Barclays,to Equal-Weight,7/10/2018
Maintains,Morgan Stanley,Overweight to Overweight,6/13/2018
Maintains,JP Morgan,Overweight to Overweight,4/26/2018
Maintains,KeyBanc,Overweight to Overweight,4/18/2018
Maintains,Morgan Stanley,Overweight to Overweight,4/16/2018
Maintains,JP Morgan,Overweight to Overweight,4/10/2018
Maintains,Morgan Stanley,Overweight to Overweight,3/8/2018
Maintains,Morgan Stanley,Overweight to Overweight,2/13/2018
Initiated,UBS,to Buy,2/2/2018
Maintains,Morgan Stanley,to Overweight,12/13/2017
Initiated,Credit Suisse,to Outperform,12/7/2017
Maintains,Morgan Stanley,to Overweight,11/13/2017
Upgrade,Goldman Sachs,Buy to Conviction Buy,10/16/2017
Maintains,JP Morgan,to Neutral,10/12/2017
Maintains,Morgan Stanley,to Overweight,9/8/2017
Maintains,Morgan Stanley,to Overweight,8/10/2017
Maintains,Morgan Stanley,to Overweight,7/11/2017
Upgrade,Deutsche Bank,Hold to Buy,1/30/2017
Downgrade,Deutsche Bank,Buy to Hold,9/23/2016
Maintains,Deutsche Bank,to Buy,7/28/2016
Downgrade,Macquarie,Outperform to Neutral,4/4/2016
Maintains,Barclays,to Overweight,3/18/2016
Maintains,Argus,to Buy,5/5/2018
Maintains,Credit Suisse,to Outperform,1/29/2016
Upgrade,Baird,Neutral to Outperform,1/29/2016
Maintains,Goldman Sachs,to Buy,1/27/2016
Maintains,Barclays,to Overweight,1/4/2016
Initiated,Scotia Howard Weil,to Sector Outperform,11/17/2015
Maintains,Barclays,to Overweight,10/29/2015
Maintains,JP Morgan,to Neutral,10/5/2015
Maintains,Deutsche Bank,to Buy,10/5/2015
Maintains,Barclays,to Overweight,9/15/2015
Maintains,UBS,to Buy,9/2/2015
Maintains,Macquarie,to Outperform,8/4/2015
Maintains,Barclays,to Overweight,8/4/2015
Initiated,Bernstein,to Outperform,7/6/2015
Maintains,Barclays,to Overweight,4/30/2015
Maintains,KeyBanc,to Overweight,4/22/2015
Downgrade,Goldman Sachs,Buy to Neutral,4/8/2015
Upgrade,Deutsche Bank,Hold to Buy,3/16/2015
Maintains,Jefferies,to Hold,1/29/2015
Maintains,Deutsche Bank,to Hold,1/28/2015
Maintains,Credit Suisse,to Outperform,1/9/2015
Maintains,Deutsche Bank,to Hold,12/17/2014
Maintains,Jefferies,to Hold,12/5/2014
Maintains,Deutsche Bank,to Hold,11/4/2014
Maintains,Jefferies,to Hold,11/3/2014
Maintains,Credit Suisse,to Outperform,11/3/2014
Maintains,Jefferies,to Hold,10/17/2014
Upgrade,ISI Group,Neutral to Buy,8/6/2014
Maintains,Deutsche Bank,to Hold,7/30/2014
Initiated,Barclays,to Overweight,7/28/2014
Maintains,Citigroup,to Neutral,7/23/2014
Maintains,Deutsche Bank,to Hold,5/21/2014
Maintains,JP Morgan,to Overweight,5/1/2014
Maintains,Jefferies,to Hold,4/28/2014
Initiated,BGC Financial,to Hold,4/28/2014
Maintains,Citigroup,to Hold,4/24/2014
Maintains,Deutsche Bank,to Hold,4/23/2014
Maintains,KeyBanc,to Buy,4/22/2014
Upgrade,Argus,Hold to Buy,5/5/2018
Maintains,Deutsche Bank,to Hold,12/11/2013
Upgrade,UBS,Neutral to Buy,11/15/2013
Maintains,Deutsche Bank,to Hold,10/1/2013
Initiated,UBS,to Neutral,9/30/2013
Upgrade,Morgan Stanley,Equal-Weight to Overweight,8/1/2013
Downgrade,ISI Group,Buy to Neutral,5/1/2013
Maintains,Wunderlich,to Hold,5/1/2013
Maintains,Deutsche Bank,to Hold,4/17/2013
Maintains,JP Morgan,to Overweight,4/8/2013
Upgrade,Goldman Sachs,Neutral to Buy,4/3/2013
