Change,Analyst,Recommendation,Date
Maintains,Morgan Stanley,to Overweight,11/10/2022
Maintains,RBC Capital,to Outperform,10/28/2022
Maintains,Wells Fargo,to Equal-Weight,10/28/2022
Downgrade,JP Morgan,Overweight to Neutral,10/14/2022
Initiated,Credit Suisse,to Outperform,10/12/2022
Initiated,Wolfe Research,to Outperform,10/11/2022
Maintains,Wells Fargo,to Equal-Weight,9/28/2022
Maintains,Susquehanna,to Positive,8/31/2022
Initiated,RBC Capital,to Outperform,8/30/2022
Maintains,Susquehanna,to Positive,7/29/2022
Upgrade,Baird,Neutral to Outperform,7/29/2022
Maintains,Morgan Stanley,to Overweight,7/12/2022
Maintains,Wells Fargo,to Equal-Weight,4/29/2022
Maintains,Wells Fargo,to Equal-Weight,3/7/2022
Maintains,Morgan Stanley,to Overweight,3/2/2022
Maintains,Morgan Stanley,to Overweight,1/28/2022
Maintains,Susquehanna,to Positive,1/28/2022
Downgrade,Wolfe Research,Outperform to Peer Perform,1/11/2022
Upgrade,Wells Fargo,Underweight to Equal-Weight,1/10/2022
Downgrade,Jefferies,Buy to Hold,1/5/2022
Maintains,Morgan Stanley,to Overweight,11/4/2021
Downgrade,Vertical Research,Buy to Hold,10/29/2021
Upgrade,Goldman Sachs,Sell to Neutral,9/23/2021
Maintains,Wells Fargo,to Underweight,8/2/2021
Maintains,Seaport Global,to Buy,7/19/2021
Upgrade,Stifel,Hold to Buy,6/4/2021
Initiated,Wells Fargo,to Underweight,5/13/2021
Maintains,Susquehanna,to Positive,4/30/2021
Maintains,Morgan Stanley,to Overweight,4/30/2021
Maintains,Morgan Stanley,to Overweight,2/8/2021
Maintains,Susquehanna,to Positive,1/29/2021
Maintains,Credit Suisse,to Outperform,1/29/2021
Maintains,Morgan Stanley,to Overweight,1/7/2021
Downgrade,Baird,Outperform to Neutral,1/7/2021
Upgrade,RBC Capital,Sector Perform to Outperform,10/6/2020
Initiated,Morgan Stanley,to Overweight,9/8/2020
Maintains,Bernstein,to Outperform,7/31/2020
Maintains,UBS,to Neutral,6/11/2020
Initiated,RBC Capital,to Sector Perform,5/21/2020
Initiated,Seaport Global,to Buy,5/19/2020
Upgrade,Cowen & Co.,Market Perform to Outperform,5/15/2020
Maintains,Morgan Stanley,to Overweight,4/14/2020
Upgrade,Bernstein,Market Perform to Outperform,3/30/2020
Maintains,Morgan Stanley,to Overweight,3/25/2020
Downgrade,Goldman Sachs,Buy to Sell,2/3/2020
Maintains,UBS,to Neutral,1/15/2020
Maintains,Morgan Stanley,to Overweight,12/12/2019
Maintains,Bernstein,to Market Perform,10/25/2019
Maintains,Morgan Stanley,to Overweight,10/10/2019
Upgrade,Morgan Stanley,Equal-Weight to Overweight,8/6/2019
Maintains,UBS,to Neutral,7/10/2019
Maintains,Morgan Stanley,to Equal-Weight,6/14/2019
Maintains,Barclays,to Overweight,5/16/2019
Upgrade,Alembic Global,Neutral to Overweight,4/30/2019
Maintains,UBS,Neutral to Neutral,4/25/2019
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,2/13/2019
Maintains,Citigroup,Buy to Buy,1/14/2019
Upgrade,Credit Suisse,Neutral to Outperform,1/14/2019
Initiated,Susquehanna,to Neutral,1/10/2019
Maintains,Barclays,Overweight to Overweight,12/4/2018
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,11/14/2018
Maintains,Jefferies,Buy to Buy,10/30/2018
Maintains,Citigroup,Buy to Buy,10/25/2018
Initiated,UBS,to Neutral,8/16/2018
Upgrade,Buckingham,Neutral to Buy,7/31/2018
Maintains,Credit Suisse,Neutral to Neutral,7/27/2018
Maintains,JP Morgan,Overweight to Overweight,7/27/2018
Maintains,Credit Suisse,Neutral to Neutral,6/27/2018
Maintains,Credit Suisse,Neutral to Neutral,4/26/2018
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,4/12/2018
Initiated,Barclays,to Overweight,3/29/2018
Maintains,Morgan Stanley,Equal-Weight to Equal-Weight,2/23/2018
Upgrade,Jefferies,Hold to Buy,2/14/2018
Upgrade,Wells Fargo,Market Perform to Outperform,1/19/2018
Upgrade,JP Morgan,Neutral to Overweight,12/12/2017
Maintains,Morgan Stanley,to Equal-Weight,11/13/2017
Maintains,Stifel Nicolaus,to Hold,10/27/2017
Maintains,Cowen & Co.,to Market Perform,10/26/2017
Initiated,Morgan Stanley,to Equal-Weight,8/8/2017
Maintains,Argus,to Buy,5/5/2018
Upgrade,Vertical Research,Hold to Buy,5/10/2017
Initiated,RBC Capital,to Outperform,1/12/2017
Downgrade,Jefferies,Buy to Hold,1/12/2017
Maintains,Deutsche Bank,to Buy,12/5/2016
Upgrade,Barclays,Equal-Weight to Overweight,11/10/2016
Initiated,Vertical Research,to Hold,10/28/2016
Initiated,Baird,to Outperform,10/6/2016
Maintains,Citigroup,to Buy,9/7/2016
Maintains,Citigroup,to Buy,9/6/2016
Downgrade,JP Morgan,Overweight to Neutral,8/25/2016
Maintains,Jefferies,to Buy,7/28/2016
Downgrade,RBC Capital,Outperform to Sector Perform,5/19/2016
Maintains,Barclays,to Equal-Weight,5/2/2016
Maintains,Citigroup,to Buy,4/27/2016
Initiated,Guggenheim,to Buy,4/4/2016
Maintains,Barclays,to Equal-Weight,2/16/2016
Upgrade,Bank of America,Neutral to Buy,2/1/2016
Maintains,Credit Suisse,to Neutral,1/29/2016
