Change,Analyst,Recommendation,Date
Maintains,Barclays,to Overweight,11/17/2022
Maintains,RBC Capital,to Outperform,11/7/2022
Maintains,Mizuho,to Neutral,11/4/2022
Maintains,BMO Capital,to Outperform,11/4/2022
Maintains,Credit Suisse,to Underperform,11/3/2022
Downgrade,Scotiabank,Sector Outperform to Sector Perform,11/3/2022
Maintains,Mizuho,to Neutral,11/1/2022
Maintains,Barclays,to Overweight,8/10/2022
Upgrade,Scotiabank,Sector Perform to Sector Outperform,8/9/2022
Maintains,Credit Suisse,to Underperform,8/4/2022
Initiated,Credit Suisse,to Underperform,7/14/2022
Maintains,Barclays,to Overweight,6/10/2022
Initiated,Barclays,to Overweight,6/1/2022
Maintains,Piper Sandler,to Overweight,5/31/2022
Maintains,Mizuho,to Neutral,4/29/2022
Maintains,RBC Capital,to Outperform,4/21/2022
Downgrade,Scotiabank,Sector Outperform to Sector Perform,3/28/2022
Maintains,Citigroup,to Buy,3/22/2022
Maintains,Morgan Stanley,to Equal-Weight,3/17/2022
Maintains,Goldman Sachs,to Buy,3/16/2022
Upgrade,Piper Sandler,Neutral to Overweight,3/7/2022
Maintains,Stifel,to Buy,3/1/2022
Maintains,RBC Capital,to Outperform,2/22/2022
Maintains,Barclays,to Overweight,2/18/2022
Upgrade,Atlantic Equities,Underweight to Neutral,2/18/2022
Maintains,Mizuho,to Neutral,2/15/2022
Maintains,Barclays,to Overweight,1/10/2022
Maintains,UBS,to Buy,1/4/2022
Initiated,Piper Sandler,to Neutral,12/17/2021
Maintains,Mizuho,to Neutral,11/4/2021
Initiated,Mizuho,to Neutral,10/13/2021
Maintains,RBC Capital,to Outperform,10/7/2021
Maintains,RBC Capital,to Outperform,7/8/2021
Upgrade,Susquehanna,Neutral to Positive,6/29/2021
Maintains,Morgan Stanley,to Equal-Weight,6/16/2021
Downgrade,Raymond James,Strong Buy to Outperform,6/15/2021
Upgrade,HSBC,Hold to Buy,5/24/2021
Maintains,Morgan Stanley,to Equal-Weight,5/10/2021
Downgrade,HSBC,Buy to Hold,2/23/2021
Maintains,Credit Suisse,to Neutral,2/19/2021
Maintains,Morgan Stanley,to Equal-Weight,2/8/2021
Maintains,Morgan Stanley,to Equal-Weight,12/14/2020
Maintains,Morgan Stanley,to Equal-Weight,11/9/2020
Downgrade,Atlantic Equities,Overweight to Neutral,8/25/2020
Maintains,Morgan Stanley,to Equal-Weight,8/24/2020
Maintains,Credit Suisse,to Neutral,8/12/2020
Maintains,TD Securities,to Buy,8/12/2020
Maintains,UBS,to Buy,8/11/2020
Upgrade,B of A Securities,Underperform to Buy,7/13/2020
Maintains,BMO Capital,to Outperform,4/15/2020
Maintains,Susquehanna,to Positive,4/9/2020
Upgrade,Citigroup,Neutral to Buy,4/9/2020
Maintains,Stifel,to Buy,3/31/2020
Maintains,Credit Suisse,to Neutral,3/31/2020
Maintains,Morgan Stanley,to Equal-Weight,3/31/2020
Upgrade,Goldman Sachs,Neutral to Buy,3/26/2020
Maintains,Credit Suisse,to Neutral,2/21/2020
Maintains,JP Morgan,to Neutral,2/20/2020
Reiterates,B of A Securities,to Buy,2/20/2020
Maintains,UBS,to Buy,2/19/2020
Downgrade,Citigroup,Buy to Neutral,2/14/2020
Downgrade,Cleveland Research,Buy to Neutral,2/10/2020
Downgrade,Stephens & Co.,Overweight to Equal-Weight,1/23/2020
Downgrade,Bernstein,Outperform to Market Perform,1/15/2020
Maintains,Morgan Stanley,to Equal-Weight,12/11/2019
Upgrade,Bank of America,Neutral to Buy,11/25/2019
Maintains,Stifel Nicolaus,to Buy,10/4/2019
Maintains,JP Morgan,to Neutral,10/2/2019
Initiated,Consumer Edge Research,to Overweight,9/23/2019
Upgrade,Bank of America,Underperform to Neutral,8/16/2019
Upgrade,BMO Capital,Market Perform to Outperform,1/8/2019
Maintains,Citigroup,Buy to Buy,1/7/2019
Upgrade,TD Securities,Hold to Buy,11/7/2018
Maintains,Macquarie,Outperform to Outperform,10/12/2018
Maintains,UBS,Buy to Buy,10/2/2018
Initiated,Barclays,to Overweight,9/4/2018
Maintains,RBC Capital,Outperform to Outperform,7/18/2018
Maintains,Citigroup,Buy to Buy,7/11/2018
Upgrade,Raymond James,Market Perform to Outperform,5/9/2018
Maintains,Citigroup,Buy to Buy,4/10/2018
Maintains,Credit Suisse,Neutral to Neutral,2/7/2018
Maintains,BMO Capital,Market Perform to Market Perform,2/7/2018
Initiated,Goldman Sachs,to Neutral,1/16/2018
Initiated,HSBC,to Buy,1/11/2018
Initiated,Stifel Nicolaus,to Buy,1/10/2018
Initiated,RBC Capital,to Outperform,1/8/2018
Initiated,Macquarie,to Outperform,1/5/2018
Initiated,Bank of America,to Underperform,1/5/2018
Initiated,Raymond James,to Market Perform,1/5/2018
Initiated,Credit Suisse,to Neutral,1/5/2018
Initiated,BMO Capital,to Market Perform,1/3/2018
Initiated,Bernstein,to Outperform,1/3/2018
