Change,Analyst,Recommendation,Date
Maintains,SVB Leerink, to Market Perform,11/3/2022
Maintains,Wells Fargo, to Overweight,11/2/2022
Maintains,Barclays, to Equal-Weight,11/2/2022
Maintains,Morgan Stanley, to Equal-Weight,11/2/2022
Maintains,Morgan Stanley, to Equal-Weight,10/12/2022
Maintains,Barclays, to Equal-Weight,10/12/2022
Maintains,SVB Leerink, to Market Perform,10/11/2022
Maintains,Barclays, to Equal-Weight,8/1/2022
Maintains,SVB Leerink, to Market Perform,7/29/2022
Maintains,Morgan Stanley, to Equal-Weight,7/8/2022
Maintains,Morgan Stanley, to Equal-Weight,5/4/2022
Maintains,Wells Fargo, to Overweight,5/4/2022
Maintains,Citigroup, to Neutral,4/5/2022
Maintains,Morgan Stanley, to Equal-Weight,2/10/2022
Maintains,Wells Fargo, to Overweight,1/7/2022
Upgrade,B of A Securities, Neutral to Buy,1/5/2022
Initiated,Goldman Sachs, to Neutral,12/17/2021
Maintains,SVB Leerink, to Market Perform,12/15/2021
Maintains,Mizuho, to Neutral,12/14/2021
Upgrade,UBS, Neutral to Buy,12/13/2021
Maintains,Barclays, to Equal-Weight,12/10/2021
Initiated,Wells Fargo, to Overweight,12/9/2021
Maintains,Morgan Stanley, to Equal-Weight,11/29/2021
Initiated,BMO Capital, to Outperform,11/19/2021
Maintains,SVB Leerink, to Market Perform,11/3/2021
Maintains,Morgan Stanley, to Equal-Weight,10/12/2021
Maintains,SVB Leerink, to Market Perform,9/20/2021
Maintains,Mizuho, to Neutral,7/30/2021
Maintains,Morgan Stanley, to Equal-Weight,7/29/2021
Maintains,SVB Leerink, to Market Perform,7/29/2021
Maintains,RBC Capital, to Sector Perform,6/17/2021
Maintains,Morgan Stanley, to Equal-Weight,5/10/2021
Downgrade,Mizuho, Buy to Neutral,5/6/2021
Maintains,SVB Leerink, to Market Perform,5/5/2021
Maintains,SVB Leerink, to Market Perform,3/26/2021
Upgrade,DZ Bank, Hold to Buy,2/4/2021
Maintains,SVB Leerink, to Market Perform,2/3/2021
Maintains,Mizuho, to Buy,2/3/2021
Maintains,Morgan Stanley, to Equal-Weight,1/29/2021
Downgrade,RBC Capital, Outperform to Sector Perform,12/16/2020
Initiated,Bernstein, to Market Perform,11/10/2020
Maintains,SVB Leerink, to Market Perform,10/28/2020
Initiated,Truist Securities, to Buy,10/23/2020
Downgrade,Atlantic Equities, Overweight to Neutral,10/12/2020
Initiated,Berenberg, to Hold,9/29/2020
Maintains,Morgan Stanley, to Equal-Weight,7/30/2020
Maintains,UBS, to Neutral,7/29/2020
Maintains,SVB Leerink, to Market Perform,7/29/2020
Initiated,SVB Leerink, to Market Perform,6/16/2020
Maintains,JP Morgan, to Neutral,6/1/2020
Maintains,Barclays, to Equal-Weight,4/29/2020
Maintains,Morgan Stanley, to Equal-Weight,4/2/2020
Maintains,RBC Capital, to Outperform,3/27/2020
Initiated,Barclays, to Equal-Weight,2/27/2020
Initiated,Mizuho, to Buy,2/6/2020
Initiated,RBC Capital, to Outperform,1/7/2020
Upgrade,DZ Bank, Sell to Hold,8/28/2019
Maintains,Morgan Stanley, to Equal-Weight,8/27/2019
Downgrade,Bank of America, Buy to Neutral,7/30/2019
Downgrade,Morgan Stanley, Overweight to Equal-Weight,7/30/2019
Maintains,Bank of America, Buy to Buy,4/1/2019
Upgrade,Argus, Neutral to Outperform,1/31/2019
Upgrade,Credit Suisse, Neutral to Outperform,1/31/2019
Downgrade,UBS, Buy to Neutral,1/23/2019
Downgrade,JP Morgan, Overweight to Neutral,12/11/2018
Maintains,Citigroup, Sell to Sell,11/6/2018
Downgrade,BMO Capital, Outperform to Market Perform,11/1/2018
Maintains,Credit Suisse, Neutral to Neutral,10/31/2018
Maintains,Morgan Stanley, Overweight to Overweight,8/23/2018
Maintains,Barclays, Equal-Weight to Equal-Weight,8/23/2018
Maintains,Bank of America, Buy to Buy,8/1/2018
Maintains,BMO Capital, Outperform to Outperform,8/1/2018
Maintains,Credit Suisse, Neutral to Neutral,8/1/2018
Maintains,BMO Capital, Outperform to Outperform,5/2/2018
Downgrade,Barclays, Overweight to Equal-Weight,4/5/2018
Maintains,Barclays, Overweight to Overweight,1/31/2018
Maintains,Credit Suisse, Neutral to Neutral,1/31/2018
Maintains,Morgan Stanley, Overweight to Overweight,1/31/2018
Maintains,Leerink Swann, Market Perform to Market Perform,1/31/2018
Maintains,BMO Capital, to Outperform,10/19/2017
Upgrade,Morgan Stanley, Equal-Weight to Overweight,9/20/2017
Upgrade,BMO Capital, Market Perform to Outperform,8/2/2017
Maintains,Credit Suisse, to Neutral,7/20/2017
Downgrade,Credit Suisse, Outperform to Neutral,7/20/2017
Downgrade,Citigroup, Neutral to Sell,5/16/2017
Initiated,Guggenheim, to Neutral,12/2/2016
Upgrade,Barclays, Equal-Weight to Overweight,11/29/2016
Downgrade,Argus, Buy to Hold,11/2/2016
Downgrade,BMO Capital, Outperform to Market Perform,11/2/2016
Downgrade,Jefferies, Buy to Hold,10/13/2016
Maintains,Jefferies, to Buy,9/13/2016
Maintains,Jefferies, to Buy,8/4/2016
Maintains,Jefferies, to Buy,7/14/2016
Maintains,Jefferies, to Buy,6/20/2016
Maintains,Jefferies, to Buy,6/14/2016
Initiated,Berenberg, to Hold,5/12/2016
Maintains,Credit Suisse, to Outperform,5/9/2016
Maintains,Leerink Swann, to Market Perform,5/5/2016
Maintains,Leerink Swann, to Market Perform,5/2/2016
Maintains,Jefferies, to Buy,4/7/2016
Initiated,Societe Generale, to Hold,4/6/2016
Maintains,SunTrust Robinson Humphrey, to Neutral,2/16/2016
Maintains,Argus, to Buy,5/5/2018
Maintains,Jefferies, to Buy,1/14/2016
Initiated,Atlantic Equities, to Overweight,12/18/2015
Upgrade,SunTrust Robinson Humphrey, Reduce to Neutral,11/25/2015
Maintains,Argus, to Buy,5/5/2018
Upgrade,Cowen & Co., Market Perform to Outperform,10/20/2015
Upgrade,Morgan Stanley, Equal-Weight to Overweight,10/2/2015
Maintains,Jefferies, to Buy,8/7/2015
Initiated,PiperJaffray, to Overweight,6/17/2015
Initiated,Jefferies, to Overweight,6/17/2015
Maintains,JP Morgan, to Overweight,4/29/2015
Maintains,Jefferies, to Buy,3/23/2015
Maintains,Deutsche Bank, to Buy,3/11/2015
Maintains,Jefferies, to Buy,2/20/2015
Maintains,JP Morgan, to Overweight,2/10/2015
Maintains,Citigroup, to Buy,2/9/2015
Upgrade,BMO Capital, Market Perform to Outperform,2/9/2015
Maintains,Deutsche Bank, to Buy,12/18/2014
Maintains,Jefferies, to Buy,10/13/2014
Initiated,Deutsche Bank, to Buy,8/27/2014
Downgrade,BMO Capital, Outperform to Market Perform,7/28/2014
Maintains,Jefferies, to Buy,7/14/2014
Maintains,Barclays, to Equal-Weight,7/2/2014
Maintains,Credit Suisse, to Outperform,5/8/2014
Maintains,Credit Suisse, to Outperform,5/2/2014
Maintains,Citigroup, to Buy,4/29/2014
Maintains,Jefferies, to Buy,4/14/2014
Maintains,Morgan Stanley, to Overweight,3/14/2014
Maintains,SunTrust Robinson Humphrey, to Reduce,3/13/2014
Maintains,Bank of America, to Buy,2/21/2014
Upgrade,Jefferies, Hold to Buy,2/4/2014
Maintains,Atlantic Equities, to Overweight,1/27/2014
Downgrade,Cowen & Co., Outperform to Market Perform,1/10/2014
Maintains,Morgan Stanley, to Overweight,12/19/2013
Upgrade,LBBW Research, Hold to Buy,11/14/2013
Initiated,Credit Suisse, to Outperform,10/8/2013
Downgrade,Jefferies, Buy to Hold,7/12/2013
Downgrade,Standpoint Research, Hold to Sell,7/2/2013
Maintains,Jefferies, to Buy,6/7/2013
Initiated,SunTrust Robinson Humphrey, to,5/29/2013
Maintains,BMO Capital, to Outperform,4/17/2013
Maintains,Jefferies, to Buy,4/10/2013
Maintains,Morgan Stanley, to Overweight,3/7/2013
Maintains,Bank of America, to Buy,3/4/2013
Maintains,UBS, to Buy,1/30/2013
Maintains,Goldman Sachs, to Buy,1/30/2013
Maintains,JP Morgan, to Overweight,1/30/2013
Maintains,BMO Capital, to Outperform,1/30/2013
Maintains,Hilliard Lyons, to Long-Term Buy,1/29/2013
Maintains,BMO Capital, to Outperform,1/28/2013
Maintains,Jefferies, to Buy,1/16/2013
Maintains,JP Morgan, to Overweight,12/13/2012
Initiated,Citigroup, to Buy,11/30/2012
Maintains,Citigroup, to Buy,11/29/2012
Downgrade,MKM Partners, Buy to Neutral,11/27/2012
Maintains,Jefferies, to Buy,11/12/2012
Maintains,BMO Capital, to Outperform,11/2/2012
Maintains,Barclays, to Equal-Weight,10/15/2012
Maintains,Jefferies, to Buy,10/12/2012
Maintains,Morgan Stanley, to Overweight,10/4/2012
Maintains,Jefferies, to Buy,8/9/2012
Maintains,Bank of America, to Buy,7/31/2012
Maintains,Morgan Stanley, to Overweight,7/18/2012
Maintains,Jefferies, to Buy,7/13/2012
Initiated,ISI Group, to Buy,4/9/2012
Maintains,Citigroup, to Neutral,4/2/2012
Maintains,Goldman Sachs, to Buy,3/27/2012
