Change,Analyst,Recommendation,Date
Maintains,Morgan Stanley, to Underweight,10/5/2022
Maintains,Goldman Sachs, to Neutral,10/4/2022
Maintains,Deutsche Bank, to Hold,9/12/2022
Maintains,Credit Suisse, to Neutral,7/18/2022
Maintains,Barclays, to Overweight,7/18/2022
Maintains,Morgan Stanley, to Underweight,7/18/2022
Maintains,Morgan Stanley, to Underweight,7/12/2022
Downgrade,Raymond James, Outperform to Market Perform,7/7/2022
Maintains,Wells Fargo, to Overweight,7/1/2022
Maintains,Wolfe Research, to Outperform,5/26/2022
Maintains,Raymond James, to Outperform,4/18/2022
Maintains,Raymond James, to Outperform,4/6/2022
Maintains,Piper Sandler, to Neutral,4/1/2022
Maintains,Morgan Stanley, to Underweight,3/28/2022
Maintains,Raymond James, to Outperform,1/20/2022
Maintains,Credit Suisse, to Neutral,1/19/2022
Maintains,JP Morgan, to Overweight,1/6/2022
Upgrade,Barclays, Equal-Weight to Overweight,1/3/2022
Maintains,Citigroup, to Neutral,12/16/2021
Initiated,UBS, to Buy,12/10/2021
Downgrade,Morgan Stanley, Equal-Weight to Underweight,12/6/2021
Maintains,Wells Fargo, to Overweight,10/25/2021
Maintains,RBC Capital, to Outperform,10/18/2021
Maintains,Barclays, to Equal-Weight,10/18/2021
Maintains,Jefferies, to Hold,10/11/2021
Maintains,Morgan Stanley, to Equal-Weight,7/29/2021
Maintains,Credit Suisse, to Neutral,7/19/2021
Maintains,RBC Capital, to Outperform,7/15/2021
Maintains,Compass Point, to Neutral,5/18/2021
Maintains,Wells Fargo, to Overweight,5/17/2021
Upgrade,Raymond James, Market Perform to Outperform,5/10/2021
Maintains,Wells Fargo, to Overweight,5/6/2021
Maintains,Citigroup, to Buy,4/20/2021
Maintains,Morgan Stanley, to Equal-Weight,4/19/2021
Maintains,RBC Capital, to Outperform,4/19/2021
Maintains,Argus Research, to Buy,4/19/2021
Maintains,Stephens & Co., to Equal-Weight,4/19/2021
Maintains,Credit Suisse, to Neutral,4/19/2021
Maintains,Jefferies, to Hold,4/9/2021
Maintains,Wells Fargo, to Overweight,4/1/2021
Maintains,Deutsche Bank, to Hold,4/1/2021
Maintains,Morgan Stanley, to Equal-Weight,3/1/2021
Maintains,Morgan Stanley, to Equal-Weight,1/19/2021
Downgrade,Piper Sandler, Overweight to Neutral,1/13/2021
Upgrade,Citigroup, Neutral to Buy,1/11/2021
Downgrade,Stephens & Co., Overweight to Equal-Weight,11/30/2020
Maintains,Morgan Stanley, to Equal-Weight,11/30/2020
Upgrade,UBS, Sell to Neutral,11/23/2020
Maintains,Morgan Stanley, to Equal-Weight,11/20/2020
Maintains,B of A Securities, to Buy,10/15/2020
Maintains,Credit Suisse, to Neutral,10/15/2020
Upgrade,Odeon Capital, Hold to Buy,9/11/2020
Downgrade,"Keefe, Bruyette & Woods", Outperform to Market Perform,7/16/2020
Maintains,Morgan Stanley, to Equal-Weight,6/24/2020
Maintains,Compass Point, to Neutral,5/13/2020
Downgrade,UBS, Neutral to Sell,5/4/2020
Maintains,Morgan Stanley, to Equal-Weight,4/16/2020
Maintains,Stephens & Co., to Equal-Weight,4/16/2020
Upgrade,Nomura, Neutral to Buy,4/16/2020
Maintains,Nomura, to Neutral,4/7/2020
Maintains,UBS, to Neutral,4/6/2020
Maintains,Wells Fargo, to Overweight,4/6/2020
Maintains,Deutsche Bank, to Hold,4/2/2020
Maintains,Wells Fargo, to Overweight,4/2/2020
Maintains,Morgan Stanley, to Equal-Weight,3/27/2020
Maintains,Citigroup, to Neutral,3/27/2020
Upgrade,Wells Fargo, Equal-Weight to Overweight,3/19/2020
Maintains,Morgan Stanley, to Equal-Weight,3/9/2020
Maintains,Morgan Stanley, to Equal-Weight,3/2/2020
Maintains,UBS, to Neutral,1/17/2020
Maintains,B of A Securities, to Buy,1/16/2020
Upgrade,B of A Securities, Neutral to Buy,1/9/2020
Maintains,Morgan Stanley, to Equal-Weight,12/23/2019
Maintains,Citigroup, to Neutral,12/16/2019
Downgrade,RBC Capital, Top Pick to Outperform,12/9/2019
Maintains,Credit Suisse, to Neutral,11/25/2019
Maintains,Morgan Stanley, to Equal-Weight,11/18/2019
Maintains,JP Morgan, to Overweight,11/4/2019
Maintains,Morgan Stanley, to Equal-Weight,10/29/2019
Maintains,UBS, to Neutral,10/21/2019
Maintains,Wells Fargo, to Market Perform,10/17/2019
Maintains,UBS, to Neutral,10/3/2019
Maintains,JP Morgan, to Overweight,7/9/2019
Maintains,Morgan Stanley, to Equal-Weight,7/8/2019
Maintains,Morgan Stanley, Equal-Weight to Equal-Weight,4/15/2019
Maintains,Barclays, Equal-Weight to Equal-Weight,4/15/2019
Downgrade,Deutsche Bank, Buy to Hold,1/25/2019
Downgrade,Bank of America, Buy to Neutral,1/10/2019
Maintains,Morgan Stanley, Equal-Weight to Equal-Weight,1/8/2019
Downgrade,Goldman Sachs, Buy to Neutral,1/7/2019
Maintains,Credit Suisse, Neutral to Neutral,12/7/2018
Downgrade,Macquarie, Outperform to Neutral,11/27/2018
Downgrade,BMO Capital, Outperform to Market Perform,11/19/2018
Maintains,Nomura, Neutral to Neutral,10/15/2018
Upgrade,Bernstein, Market Perform to Outperform,10/15/2018
Maintains,Morgan Stanley, Equal-Weight to Equal-Weight,10/15/2018
Maintains,Bank of America, Buy to Buy,5/4/2018
Maintains,Bank of America, Buy to Buy,3/13/2018
Maintains,Morgan Stanley, Equal-Weight to Equal-Weight,2/2/2018
Maintains,JP Morgan, to Overweight,11/1/2017
Maintains,Nomura, to Neutral,10/23/2017
Maintains,UBS, to Neutral,10/16/2017
Maintains,Barclays, to Equal-Weight,10/16/2017
Maintains,Credit Suisse, to Neutral,10/16/2017
Maintains,Citigroup, to Neutral,10/10/2017
Maintains,Citigroup, to Neutral,10/9/2017
Downgrade,Stephens & Co., Overweight to Equal-Weight,10/5/2017
Maintains,Nomura, to Neutral,9/28/2017
Downgrade,Deutsche Bank, Buy to Hold,9/26/2017
Maintains,Deutsche Bank, to Buy,7/25/2017
Maintains,Morgan Stanley, to Equal-Weight,7/17/2017
Maintains,Credit Suisse, to Neutral,7/17/2017
Maintains,Nomura, to Neutral,7/17/2017
Upgrade,Goldman Sachs, Neutral to Buy,2/8/2017
Initiated,UBS, to Neutral,1/11/2017
Maintains,Deutsche Bank, to Buy,11/30/2016
Downgrade,Keefe Bruyette & Woods, Outperform to Market Perform,11/29/2016
Upgrade,Argus, Hold to Buy,5/5/2018
Downgrade,Nomura, Buy to Neutral,10/10/2016
Upgrade,Raymond James, Underperform to Market Perform,10/6/2016
Maintains,Jefferies, to Hold,9/26/2016
Maintains,CLSA, to Underperform,9/23/2016
Upgrade,BMO Capital, Market Perform to Outperform,9/19/2016
Upgrade,Stephens & Co., Equal-Weight to Overweight,8/1/2016
Maintains,Barclays, to Equal-Weight,7/18/2016
Upgrade,Nomura, Neutral to Buy,7/7/2016
Downgrade,Raymond James, Market Perform to Underperform,5/9/2016
Maintains,Nomura, to Neutral,4/25/2016
Upgrade,Evercore ISI Group, Hold to Buy,4/1/2016
Initiated,Societe Generale, to Hold,3/22/2016
Downgrade,Atlantic Equities, Overweight to Neutral,3/14/2016
Maintains,Credit Suisse, to Neutral,2/16/2016
Maintains,Nomura, to Neutral,2/11/2016
Maintains,Deutsche Bank, to Buy,1/26/2016
Maintains,Credit Suisse, to Neutral,1/19/2016
Downgrade,Nomura, Buy to Neutral,1/6/2016
Initiated,PiperJaffray, to Overweight,11/23/2015
Maintains,Barclays, to Equal-Weight,10/15/2015
Initiated,Hilliard Lyons, to Neutral,10/2/2015
Upgrade,Deutsche Bank, Hold to Buy,9/8/2015
Upgrade,Keefe Bruyette & Woods, Underperform to Market Perform,9/2/2015
Downgrade,Keefe Bruyette & Woods, Market Perform to Underperform,8/11/2015
Maintains,Keefe Bruyette & Woods, to Market Perform,7/16/2015
Maintains,Citigroup, to Neutral,6/29/2015
Initiated,Stephens & Co., to Equal-Weight,6/18/2015
Maintains,Nomura, to Buy,5/14/2015
Downgrade,Susquehanna, to Neutral,5/11/2015
Maintains,JP Morgan, to Overweight,4/1/2015
Maintains,Citigroup, to Neutral,3/13/2015
Maintains,Deutsche Bank, to Hold,2/10/2015
Maintains,Citigroup, to Neutral,1/21/2015
Initiated,Evercore ISI Group, to Hold,1/13/2015
Maintains,JP Morgan, to Overweight,1/8/2015
Initiated,Credit Agricole, to Neutral,1/8/2015
Maintains,Barclays, to Equal-Weight,1/5/2015
Initiated,Argus Capital, to Hold,12/29/2014
Downgrade,Sterne Agee, Buy to Neutral,10/27/2014
Downgrade,Deutsche Bank, Buy to Hold,10/20/2014
Maintains,Compass Point, to Neutral,10/16/2014
Downgrade,Jefferies, Buy to Hold,10/2/2014
Maintains,Barclays, to Equal-Weight,9/23/2014
Maintains,JP Morgan, to Overweight,9/4/2014
Maintains,Credit Suisse, to Neutral,7/17/2014
Maintains,Barclays, to Equal-Weight,7/17/2014
Downgrade,Compass Point, Buy to Neutral,7/17/2014
Maintains,Citigroup, to Neutral,7/8/2014
Initiated,Nomura, to Buy,5/14/2014
Maintains,Deutsche Bank, to Buy,4/24/2014
Downgrade,Rafferty, Buy to Hold,4/17/2014
Maintains,Compass Point, to Buy,4/17/2014
Maintains,Citigroup, to Neutral,4/7/2014
Maintains,Morgan Stanley, to Equal-Weight,1/17/2014
Maintains,Compass Point, to Buy,1/17/2014
Upgrade,Sandler O'Neill, Hold to Buy,1/16/2014
Downgrade,Evercore Partners, Overweight to Equal-weight,12/16/2013
Maintains,Compass Point, to Buy,10/17/2013
Initiated,ISI Group, to Neutral,10/7/2013
Downgrade,Morgan Stanley, Overweight to Equal-Weight,7/25/2013
Downgrade,Sterne Agee, Buy to Neutral,7/23/2013
Maintains,Compass Point, to Buy,7/18/2013
Downgrade,Rafferty, Buy to Hold,7/18/2013
Maintains,UBS, to Neutral,7/10/2013
Maintains,JP Morgan, to Overweight,7/10/2013
Downgrade,Sandler O'Neill, Buy to Hold,7/10/2013
Maintains,Barclays, to Equal-Weight,4/18/2013
Maintains,Compass Point, to Buy,4/17/2013
Maintains,Deutsche Bank, to Buy,4/2/2013
Initiated,Rafferty, to Buy,2/13/2013
Downgrade,SunTrust Robinson Humphrey, Buy to Neutral,2/6/2013
Initiated,Nomura, to Buy,2/6/2013
Downgrade,Wells Fargo, Outperform to Market Perform,1/29/2013
Downgrade,CLSA, Outperform to Underperform,1/23/2013
Maintains,BMO Capital, to Market Perform,1/18/2013
Maintains,Jefferies, to Buy,1/18/2013
Maintains,UBS, to Neutral,1/10/2013
Initiated,SunTrust Robinson Humphrey, to Buy,12/7/2012
Upgrade,Compass Point, Neutral to Buy,12/5/2012
Downgrade,Stifel Nicolaus, Buy to Hold,10/17/2012
Maintains,Jefferies, to Buy,10/17/2012
Downgrade,ISI Group, Buy to Hold,10/16/2012
Initiated,Drexel Hamilton, to Hold,10/2/2012
Upgrade,Deutsche Bank, Hold to Buy,10/2/2012
Maintains,Citigroup, to Neutral,9/28/2012
Maintains,JP Morgan, to Overweight,9/28/2012
Maintains,UBS, to Neutral,6/28/2012
Maintains,Citigroup, to Neutral,6/7/2012
Maintains,Compass Point, to Neutral,5/22/2012
Maintains,JP Morgan, to Overweight,5/9/2012
Maintains,Jefferies, to Buy,4/19/2012
Maintains,Bank oferica, to Buy,4/19/2012
Maintains,Sterne Agee, to Buy,4/19/2012
Maintains,Morgan Stanley, to Overweight,4/19/2012
Maintains,JP Morgan, to Overweight,4/10/2012
Maintains,Citigroup, to Neutral,4/10/2012
