Change,Analyst,Recommendation,Date
Maintains,DA Davidson, to Buy,11/7/2022
Maintains,BMO Capital, to Outperform,11/7/2022
Maintains,Barclays, to Overweight,11/7/2022
Maintains,Keybanc, to Overweight,11/7/2022
Maintains,Wells Fargo, to Overweight,11/4/2022
Maintains,Goldman Sachs, to Buy,11/4/2022
Maintains,Morgan Stanley, to Overweight,11/4/2022
Maintains,Truist Securities, to Hold,11/4/2022
Maintains,Stephens & Co., to Equal-Weight,11/4/2022
Maintains,Credit Suisse, to Outperform,11/4/2022
Maintains,Raymond James, to Outperform,11/4/2022
Maintains,Morgan Stanley, to Overweight,10/28/2022
Maintains,Truist Securities, to Hold,10/13/2022
Maintains,Atlantic Equities, to Overweight,10/12/2022
Downgrade,Susquehanna, Positive to Neutral,9/20/2022
Upgrade,Raymond James, Market Perform to Outperform,9/14/2022
Maintains,Barclays, to Overweight,9/12/2022
Maintains,Deutsche Bank, to Buy,9/12/2022
Maintains,Wells Fargo, to Overweight,9/8/2022
Upgrade,B of A Securities, Neutral to Buy,8/31/2022
Maintains,Mizuho, to Buy,8/8/2022
Maintains,BMO Capital, to Outperform,8/4/2022
Maintains,Barclays, to Overweight,8/4/2022
Maintains,Truist Securities, to Hold,8/3/2022
Maintains,RBC Capital, to Outperform,8/3/2022
Upgrade,SMBC Nikko, Underperform to Neutral,8/3/2022
Maintains,UBS, to Buy,8/3/2022
Maintains,Evercore ISI Group, to Outperform,8/3/2022
Maintains,Morgan Stanley, to Overweight,8/3/2022
Maintains,Wells Fargo, to Overweight,8/3/2022
Maintains,Credit Suisse, to Outperform,8/3/2022
Maintains,JMP Securities, to Market Outperform,8/3/2022
Maintains,Keybanc, to Overweight,8/3/2022
Maintains,Berenberg, to Buy,7/27/2022
Maintains,Oppenheimer, to Outperform,7/25/2022
Maintains,Keybanc, to Overweight,7/21/2022
Maintains,Wells Fargo, to Overweight,7/20/2022
Maintains,JP Morgan, to Overweight,7/20/2022
Maintains,JMP Securities, to Market Outperform,7/15/2022
Maintains,RBC Capital, to Outperform,7/15/2022
Downgrade,Redburn Partners, Buy to Neutral,7/8/2022
Maintains,Piper Sandler, to Overweight,7/6/2022
Maintains,Truist Securities, to Hold,6/30/2022
Maintains,Credit Suisse, to Outperform,6/22/2022
Maintains,Morgan Stanley, to Overweight,6/2/2022
Maintains,Morgan Stanley, to Overweight,5/10/2022
Maintains,Mizuho, to Buy,5/2/2022
Maintains,Barclays, to Overweight,5/2/2022
