Change,Analyst,Recommendation,Date
Maintains,Raymond James,to Strong Buy,11/23/2022
Maintains,Barclays,to Overweight,11/14/2022
Maintains,RBC Capital,to Outperform,11/7/2022
Maintains,Cowen & Co.,to Outperform,11/1/2022
Maintains,Raymond James,to Strong Buy,11/1/2022
Maintains,Credit Suisse,to Outperform,11/1/2022
Maintains,Barclays,to Overweight,10/20/2022
Maintains,Morgan Stanley,to Overweight,10/18/2022
Maintains,Wells Fargo,to Overweight,10/18/2022
Maintains,Goldman Sachs,to Buy,10/12/2022
Maintains,Deutsche Bank,to Buy,10/7/2022
Maintains,Keybanc,to Overweight,10/3/2022
Maintains,Morgan Stanley,to Overweight,9/16/2022
Maintains,Barclays,to Overweight,8/26/2022
Maintains,RBC Capital,to Outperform,8/8/2022
Maintains,Keybanc,to Overweight,8/3/2022
Maintains,UBS,to Buy,8/2/2022
Maintains,Credit Suisse,to Outperform,8/2/2022
Maintains,Morgan Stanley,to Overweight,7/20/2022
Maintains,Wells Fargo,to Overweight,7/19/2022
Maintains,Goldman Sachs,to Buy,7/12/2022
Maintains,Keybanc,to Overweight,7/1/2022
Maintains,Jefferies,to Hold,6/30/2022
Maintains,Morgan Stanley,to Overweight,6/7/2022
Maintains,RBC Capital,to Outperform,5/2/2022
Maintains,Barclays,to Overweight,4/26/2022
Maintains,Credit Suisse,to Outperform,4/26/2022
Maintains,Raymond James,to Strong Buy,4/26/2022
Maintains,Keybanc,to Overweight,4/26/2022
Maintains,Barclays,to Overweight,4/19/2022
Maintains,Wells Fargo,to Overweight,4/18/2022
Downgrade,MoffettNathanson,Buy to Neutral,4/11/2022
Maintains,Morgan Stanley,to Overweight,4/7/2022
Maintains,RBC Capital,to Outperform,3/7/2022
Maintains,Deutsche Bank,to Buy,3/2/2022
Maintains,Raymond James,to Strong Buy,3/1/2022
Maintains,Credit Suisse,to Outperform,3/1/2022
Maintains,Keybanc,to Overweight,3/1/2022
Maintains,Morgan Stanley,to Overweight,1/26/2022
Maintains,Barclays,to Overweight,1/14/2022
Downgrade,Jefferies,Buy to Hold,1/10/2022
Maintains,Morgan Stanley,to Overweight,12/1/2021
Maintains,RBC Capital,to Outperform,11/8/2021
Maintains,Cowen & Co.,to Outperform,11/2/2021
Maintains,Barclays,to Overweight,11/2/2021
Maintains,Credit Suisse,to Outperform,11/2/2021
Maintains,Keybanc,to Overweight,11/2/2021
Upgrade,Credit Suisse,Neutral to Outperform,10/19/2021
Maintains,Morgan Stanley,to Overweight,9/10/2021
Maintains,Citigroup,to Buy,8/19/2021
Maintains,Truist Securities,to Buy,8/3/2021
Maintains,Raymond James,to Strong Buy,8/3/2021
Maintains,Barclays,to Overweight,8/3/2021
Maintains,Wells Fargo,to Overweight,8/3/2021
Maintains,Credit Suisse,to Neutral,8/3/2021
Maintains,Keybanc,to Overweight,8/3/2021
Maintains,Keybanc,to Overweight,7/19/2021
Maintains,Deutsche Bank,to Buy,7/8/2021
Upgrade,Morgan Stanley,Equal-Weight to Overweight,6/2/2021
Maintains,Raymond James,to Strong Buy,5/4/2021
Maintains,Credit Suisse,to Neutral,4/27/2021
Maintains,Wells Fargo,to Overweight,4/27/2021
Maintains,Morgan Stanley,to Equal-Weight,4/19/2021
Initiated,Jefferies,to Buy,4/12/2021
Upgrade,KeyBanc,Sector Weight to Overweight,3/26/2021
Upgrade,Raymond James,Outperform to Strong Buy,3/5/2021
Maintains,Barclays,to Overweight,2/23/2021
Maintains,Deutsche Bank,to Buy,2/23/2021
Maintains,Credit Suisse,to Neutral,2/23/2021
Maintains,Raymond James,to Outperform,2/23/2021
Downgrade,JP Morgan,Overweight to Neutral,2/8/2021
Downgrade,Credit Suisse,Outperform to Neutral,2/3/2021
Upgrade,Barclays,Equal-Weight to Overweight,1/15/2021
Maintains,Morgan Stanley,to Equal-Weight,12/11/2020
Maintains,Credit Suisse,to Outperform,11/3/2020
Maintains,Raymond James,to Outperform,11/3/2020
Maintains,Wells Fargo,to Overweight,9/16/2020
Downgrade,KeyBanc,Overweight to Sector Weight,7/13/2020
Maintains,Wells Fargo,to Overweight,7/10/2020
Upgrade,JP Morgan,Neutral to Overweight,6/9/2020
Maintains,Morgan Stanley,to Equal-Weight,6/1/2020
Maintains,RBC Capital,to Outperform,5/11/2020
Maintains,Credit Suisse,to Outperform,5/6/2020
Reiterates,B of A Securities,to Buy,5/6/2020
Initiated,Credit Suisse,to Outperform,4/28/2020
Maintains,Morgan Stanley,to Equal-Weight,4/27/2020
Upgrade,Wells Fargo,Equal-Weight to Overweight,4/7/2020
Upgrade,Raymond James,Market Perform to Outperform,3/19/2020
Upgrade,B of A Securities,Neutral to Buy,3/2/2020
Maintains,SunTrust Robinson Humphrey,to Buy,2/24/2020
Maintains,UBS,to Neutral,2/21/2020
Maintains,Wells Fargo,to Equal-Weight,2/21/2020
Maintains,KeyBanc,to Overweight,2/21/2020
Maintains,Citigroup,to Buy,2/19/2020
Upgrade,Goldman Sachs,Neutral to Buy,1/13/2020
Maintains,Morgan Stanley,to Equal-Weight,11/22/2019
Downgrade,Morgan Stanley,Overweight to Equal-Weight,9/19/2019
Maintains,KeyBanc,to Overweight,8/19/2019
Downgrade,JP Morgan,Overweight to Neutral,8/1/2019
Maintains,KeyBanc,to Overweight,7/30/2019
Downgrade,Bank of America,Buy to Neutral,7/15/2019
Maintains,KeyBanc,to Overweight,7/15/2019
Downgrade,Moffett Nathanson,Buy to Neutral,7/8/2019
Downgrade,UBS,Buy to Neutral,6/7/2019
Maintains,Morgan Stanley,to Overweight,5/20/2019
Downgrade,Raymond James,Outperform to Market Perform,5/1/2019
Maintains,KeyBanc,Overweight to Overweight,4/30/2019
Maintains,Morgan Stanley,Overweight to Overweight,3/11/2019
Downgrade,Guggenheim,Buy to Neutral,2/22/2019
Maintains,KeyBanc,Overweight to Overweight,2/12/2019
Maintains,Citigroup,Buy to Buy,11/6/2018
Upgrade,Citigroup,Neutral to Buy,10/31/2018
Maintains,Macquarie,Neutral to Neutral,8/29/2018
Maintains,Morgan Stanley,Overweight to Overweight,8/16/2018
Maintains,Deutsche Bank,Hold to Hold,8/1/2018
Maintains,Morgan Stanley,Overweight to Overweight,5/31/2018
Maintains,Morgan Stanley,Overweight to Overweight,3/16/2018
Maintains,Citigroup,Neutral to Neutral,2/28/2018
Maintains,Wells Fargo,Market Perform to Market Perform,2/27/2018
Maintains,Deutsche Bank,Hold to Hold,2/27/2018
Maintains,KeyBanc,Overweight to Overweight,2/27/2018
Maintains,Morgan Stanley,to Overweight,11/14/2017
Maintains,KeyBanc,to Overweight,11/6/2017
Upgrade,KeyBanc,Sector Weight to Overweight,9/27/2017
Maintains,Citigroup,to Neutral,8/28/2017
Maintains,Morgan Stanley,to Overweight,8/24/2017
Maintains,Barclays,to Overweight,8/1/2017
Maintains,Deutsche Bank,to Hold,7/14/2017
Downgrade,Raymond James,Strong Buy to Outperform,6/12/2017
Upgrade,Guggenheim,Neutral to Buy,4/11/2017
Downgrade,Citigroup,Buy to Neutral,1/25/2017
Initiated,Guggenheim,to Neutral,12/16/2016
