Change,Analyst,Recommendation,Date
Maintains,RBC Capital, to Outperform,11/8/2022
Maintains,Morgan Stanley, to Overweight,11/7/2022
Maintains,Barclays, to Overweight,10/26/2022
Maintains,Wells Fargo, to Overweight,10/26/2022
Maintains,Goldman Sachs, to Buy,10/25/2022
Maintains,Morgan Stanley, to Overweight,10/24/2022
Maintains,RBC Capital, to Outperform,10/24/2022
Maintains,Susquehanna, to Positive,10/24/2022
Maintains,Citigroup, to Buy,10/24/2022
Initiated,Jefferies, to Buy,10/19/2022
Maintains,Morgan Stanley, to Overweight,10/13/2022
Upgrade,Benchmark, Hold to Buy,7/27/2022
Maintains,Cowen & Co., to Outperform,7/25/2022
Maintains,Barclays, to Overweight,7/25/2022
Maintains,Morgan Stanley, to Overweight,7/13/2022
Maintains,Goldman Sachs, to Buy,7/13/2022
Maintains,Barclays, to Overweight,6/8/2022
Maintains,Barclays, to Overweight,4/27/2022
Upgrade,HSBC, Hold to Buy,4/27/2022
Maintains,Wells Fargo, to Overweight,4/25/2022
Maintains,Morgan Stanley, to Overweight,4/11/2022
Maintains,Cowen & Co., to Outperform,3/31/2022
Maintains,Wells Fargo, to Overweight,3/31/2022
Maintains,Goldman Sachs, to Buy,3/22/2022
Upgrade,Exane BNP Paribas, Neutral to Outperform,1/26/2022
Maintains,Morgan Stanley, to Overweight,1/24/2022
Maintains,Citigroup, to Buy,1/24/2022
Initiated,Benchmark, to Hold,11/19/2021
Maintains,Barclays, to Overweight,10/25/2021
Initiated,Oddo Securities, to Outperform,10/14/2021
Upgrade,JP Morgan, Neutral to Overweight,10/7/2021
Upgrade,HSBC, Reduce to Hold,8/4/2021
Maintains,Morgan Stanley, to Overweight,7/9/2021
Initiated,Goldman Sachs, to Buy,5/13/2021
Maintains,Morgan Stanley, to Overweight,4/26/2021
Maintains,Citigroup, to Buy,4/26/2021
Maintains,Piper Sandler, to Neutral,2/1/2021
Maintains,Credit Suisse, to Neutral,1/26/2021
Maintains,Morgan Stanley, to Overweight,1/25/2021
Upgrade,B of A Securities, Neutral to Buy,1/25/2021
Downgrade,HSBC, Hold to Reduce,12/10/2020
Maintains,B of A Securities, to Neutral,10/19/2020
Maintains,ScotiaBank, to Sector Outperform,10/19/2020
Initiated,BMO Capital, to Outperform,10/2/2020
Maintains,ScotiaBank, to Sector Outperform,7/28/2020
Maintains,UBS, to Neutral,7/27/2020
Maintains,Morgan Stanley, to Overweight,7/27/2020
Upgrade,Citigroup, Neutral to Buy,7/27/2020
Upgrade,Cowen & Co., Market Perform to Outperform,7/15/2020
Maintains,Morgan Stanley, to Overweight,7/9/2020
Maintains,JP Morgan, to Neutral,6/18/2020
Maintains,B of A Securities, to Neutral,6/17/2020
Initiated,Northland Capital Markets, to Outperform,5/29/2020
Maintains,UBS, to Neutral,5/26/2020
Downgrade,HSBC, Buy to Hold,4/30/2020
Reiterates,B of A Securities, to Neutral,4/20/2020
Downgrade,Wells Fargo, Overweight to Equal-Weight,4/13/2020
Maintains,UBS, to Neutral,4/9/2020
Upgrade,Bernstein, Underperform to Outperform,4/6/2020
Maintains,Stifel, to Buy,4/1/2020
Maintains,Barclays, to Overweight,3/31/2020
Downgrade,Piper Sandler, Overweight to Neutral,3/27/2020
Maintains,Citigroup, to Neutral,3/20/2020
Maintains,Stifel, to Buy,3/10/2020
Downgrade,CFRA, Hold to Sell,3/9/2020
Downgrade,B of A Securities, Buy to Neutral,3/9/2020
Downgrade,UBS, Buy to Neutral,3/3/2020
Downgrade,Cowen & Co., Outperform to Market Perform,1/21/2020
Initiated,Bernstein, to Underperform,1/14/2020
Maintains,Wells Fargo, to Overweight,1/9/2020
Maintains,Stifel, to Buy,1/2/2020
Maintains,Citigroup, to Buy,12/10/2019
Upgrade,Tudor Pickering, Sell to Buy,11/20/2019
Initiated,Deutsche Bank, to Buy,11/20/2019
Maintains,Wells Fargo, to Outperform,10/21/2019
Maintains,Citigroup, to Buy,10/18/2019
Maintains,Morgan Stanley, to Overweight,10/8/2019
Maintains,Citigroup, to Buy,9/23/2019
Upgrade,Barclays, Equal-Weight to Overweight,9/16/2019
Maintains,Wells Fargo, to Outperform,9/12/2019
Upgrade,Morgan Stanley, Equal-Weight to Overweight,9/10/2019
Maintains,JP Morgan, to Neutral,9/9/2019
Maintains,JP Morgan, to Neutral,7/22/2019
Initiated,Gabelli & Co., to Buy,6/27/2019
Upgrade,Stifel Nicolaus, Hold to Buy,6/7/2019
Downgrade,Tudor Pickering, Buy to Hold,4/22/2019
Maintains,Barclays, Equal-Weight to Equal-Weight,4/9/2019
Downgrade,Jefferies, Buy to Hold,3/15/2019
Initiated,Goldman Sachs, to Buy,3/11/2019
Maintains,Citigroup, Buy to Buy,1/4/2019
Downgrade,Credit Suisse, Outperform to Neutral,12/19/2018
Downgrade,JP Morgan, Overweight to Neutral,12/11/2018
Upgrade,HSBC, Hold to Buy,11/26/2018
Maintains,UBS, Buy to Buy,10/22/2018
Maintains,Citigroup, Buy to Buy,10/22/2018
Maintains,Jefferies, Buy to Buy,9/26/2018
Initiated,Morgan Stanley, to Equal-Weight,9/19/2018
Maintains,JP Morgan, Overweight to Overweight,9/17/2018
Initiated,Stifel Nicolaus, to Hold,9/11/2018
Maintains,Citigroup, Buy to Buy,7/23/2018
Maintains,Credit Suisse, Outperform to Outperform,7/23/2018
Maintains,Citigroup, Buy to Buy,6/25/2018
Maintains,Citigroup, Buy to Buy,6/13/2018
Maintains,Credit Suisse, Outperform to Outperform,4/23/2018
Upgrade,SunTrust Robinson Humphrey, Hold to Buy,4/3/2018
Upgrade,Bank of America, Neutral to Buy,2/26/2018
Upgrade,Griffin Securities, Neutral to Buy,2/12/2018
Upgrade,Atlantic Equities, Neutral to Overweight,1/22/2018
Maintains,Loop Capital, to Buy,10/26/2017
Maintains,Citigroup, to Buy,10/25/2017
Maintains,Barclays, to Equal-Weight,10/25/2017
