Change,Analyst,Recommendation,Date
Upgrade,Citigroup,Sell to Neutral,11/23/2022
Maintains,Morgan Stanley,to Overweight,10/25/2022
Maintains,Mizuho,to Buy,10/20/2022
Maintains,Deutsche Bank,to Buy,10/20/2022
Maintains,Wedbush,to Outperform,10/20/2022
Maintains,RBC Capital,to Outperform,10/20/2022
Maintains,Wells Fargo,to Equal-Weight,10/14/2022
Maintains,Morgan Stanley,to Overweight,10/10/2022
Maintains,Mizuho,to Buy,10/6/2022
Maintains,Goldman Sachs,to Buy,10/4/2022
Maintains,Truist Securities,to Buy,10/3/2022
Maintains,Piper Sandler,to Overweight,9/29/2022
Maintains,Deutsche Bank,to Buy,9/16/2022
Upgrade,Needham,Underperform to Hold,9/15/2022
Upgrade,Wolfe Research,Peer Perform to Outperform,9/6/2022
Maintains,Piper Sandler,to Overweight,9/2/2022
Maintains,Deutsche Bank,to Buy,8/29/2022
Maintains,Jefferies,to Buy,8/26/2022
Maintains,Morgan Stanley,to Overweight,8/26/2022
Maintains,Wedbush,to Outperform,8/25/2022
Maintains,Morgan Stanley,to Overweight,8/25/2022
Maintains,Berenberg,to Hold,8/25/2022
Maintains,Citigroup,to Sell,8/2/2022
Maintains,Cowen & Co.,to Market Perform,7/21/2022
Maintains,Canaccord Genuity,to Buy,7/21/2022
Maintains,Wells Fargo,to Equal-Weight,7/21/2022
Maintains,B of A Securities,to Neutral,7/21/2022
Maintains,Berenberg,to Hold,7/21/2022
Maintains,Mizuho,to Buy,7/21/2022
Maintains,GLJ Research,to Sell,7/19/2022
Maintains,Barclays,to Underweight,7/18/2022
Maintains,Morgan Stanley,to Overweight,7/14/2022
Initiated,Truist Securities,to Buy,7/14/2022
Maintains,Wells Fargo,to Equal-Weight,7/11/2022
Maintains,JP Morgan,to Underweight,7/5/2022
Maintains,Deutsche Bank,to Buy,6/28/2022
Maintains,Mizuho,to Buy,6/27/2022
Maintains,Credit Suisse,to Outperform,6/24/2022
Upgrade,RBC Capital,Sector Perform to Outperform,6/13/2022
Maintains,Barclays,to Underweight,6/10/2022
Upgrade,UBS,Neutral to Buy,6/9/2022
Maintains,Cowen & Co.,to Market Perform,6/3/2022
Maintains,Goldman Sachs,to Buy,6/1/2022
Maintains,Jefferies,to Buy,5/26/2022
Maintains,Daiwa Capital,to Outperform,5/24/2022
Maintains,Wedbush,to Outperform,5/19/2022
Maintains,Piper Sandler,to Overweight,5/18/2022
Upgrade,Tudor Pickering,Sell to Hold,5/17/2022
Maintains,Wells Fargo,to Equal-Weight,5/12/2022
Initiated,Berenberg,to Hold,5/10/2022
Maintains,Deutsche Bank,to Buy,4/22/2022
Maintains,Oppenheimer,to Outperform,4/21/2022
Maintains,Wells Fargo,to Equal-Weight,4/21/2022
Maintains,Citigroup,to Sell,4/21/2022
Maintains,JP Morgan,to Underweight,4/21/2022
Maintains,RBC Capital,to Sector Perform,4/21/2022
Maintains,Credit Suisse,to Outperform,4/19/2022
Maintains,Piper Sandler,to Overweight,4/18/2022
Maintains,Cowen & Co.,to Market Perform,4/4/2022
Maintains,UBS,to Neutral,4/4/2022
Maintains,JP Morgan,to Underweight,4/4/2022
Upgrade,Daiwa Capital,Neutral to Outperform,2/25/2022
Maintains,Piper Sandler,to Overweight,2/14/2022
Upgrade,Credit Suisse,Neutral to Outperform,1/31/2022
Maintains,Citigroup,to Sell,1/27/2022
Maintains,Wells Fargo,to Equal-Weight,1/27/2022
Maintains,JP Morgan,to Underweight,1/27/2022
Maintains,Credit Suisse,to Neutral,1/18/2022
Maintains,Barclays,to Underweight,1/5/2022
Maintains,Mizuho,to Buy,1/5/2022
Maintains,Deutsche Bank,to Buy,1/3/2022
Maintains,JP Morgan,to Underweight,1/3/2022
Maintains,RBC Capital,to Sector Perform,1/3/2022
Maintains,Deutsche Bank,to Buy,12/31/2021
Maintains,Argus Research,to Buy,12/28/2021
Initiated,Guggenheim,to Neutral,12/20/2021
Maintains,New Street Research,to Buy,12/8/2021
Maintains,UBS,to Neutral,12/7/2021
Maintains,Wedbush,to Outperform,11/19/2021
Maintains,Jefferies,to Buy,11/8/2021
Maintains,Piper Sandler,to Overweight,10/28/2021
Maintains,Goldman Sachs,to Buy,10/27/2021
Maintains,Canaccord Genuity,to Buy,10/21/2021
Maintains,Roth Capital,to Neutral,10/21/2021
Maintains,Mizuho,to Buy,10/21/2021
Maintains,RBC Capital,to Sector Perform,10/21/2021
Maintains,Wells Fargo,to Equal-Weight,10/21/2021
Maintains,Credit Suisse,to Neutral,10/21/2021
Maintains,Wedbush,to Outperform,10/21/2021
Maintains,Jefferies,to Buy,10/15/2021
Maintains,Barclays,to Underweight,10/14/2021
Maintains,Canaccord Genuity,to Buy,10/8/2021
Maintains,RBC Capital,to Sector Perform,10/4/2021
Initiated,Tudor Pickering,to Sell,9/23/2021
Upgrade,Jefferies,Hold to Buy,8/9/2021
Initiated,KGI Securities,to Outperform,8/2/2021
Upgrade,DZ Bank,Sell to Buy,7/29/2021
Maintains,Canaccord Genuity,to Buy,7/27/2021
Maintains,Goldman Sachs,to Buy,7/27/2021
Maintains,Wells Fargo,to Equal-Weight,7/27/2021
Maintains,RBC Capital,to Sector Perform,7/27/2021
Maintains,Mizuho,to Buy,7/27/2021
Maintains,JP Morgan,to Underweight,7/7/2021
Maintains,UBS,to Neutral,6/29/2021
Maintains,Canaccord Genuity,to Buy,6/14/2021
Initiated,Wells Fargo,to Equal-Weight,5/24/2021
Maintains,Canaccord Genuity,to Buy,4/27/2021
Reiterates,Credit Suisse,to Neutral,4/27/2021
Maintains,Goldman Sachs,to Buy,4/27/2021
Maintains,Morgan Stanley,to Overweight,4/23/2021
Maintains,Mizuho,to Buy,4/20/2021
Upgrade,Canaccord Genuity,Hold to Buy,4/12/2021
Maintains,JP Morgan,to Underweight,4/5/2021
Upgrade,Wedbush,Neutral to Outperform,4/5/2021
Maintains,Jefferies,to Hold,3/29/2021
Initiated,Mizuho,to Buy,3/11/2021
Upgrade,New Street,Neutral to Buy,3/9/2021
Maintains,Morgan Stanley,to Overweight,2/2/2021
Maintains,Piper Sandler,to Overweight,2/1/2021
Maintains,Deutsche Bank,to Buy,1/28/2021
Maintains,Roth Capital,to Neutral,1/28/2021
Reiterates,Credit Suisse,to Neutral,1/28/2021
Maintains,RBC Capital,to Sector Perform,1/28/2021
Maintains,JP Morgan,to Underweight,1/28/2021
Downgrade,JMP Securities,Market Outperform to Market Perform,1/28/2021
Maintains,Baird,to Outperform,1/25/2021
Maintains,JP Morgan,to Underweight,1/22/2021
Maintains,Oppenheimer,to Outperform,1/20/2021
Maintains,Wedbush,to Neutral,1/15/2021
Initiated,Edward Jones,to Hold,1/13/2021
Maintains,Credit Suisse,to Neutral,1/11/2021
Upgrade,Evercore ISI Group,Underperform to In-Line,1/8/2021
Upgrade,RBC Capital,Underperform to Sector Perform,1/7/2021
Maintains,Morgan Stanley,to Overweight,1/6/2021
Downgrade,Exane BNP Paribas,Neutral to Underperform,1/5/2021
Maintains,JP Morgan,to Underweight,1/4/2021
Downgrade,CFRA,Strong Buy to Hold,12/18/2020
Downgrade,Jefferies,Buy to Hold,12/11/2020
Downgrade,New Street,Buy to Neutral,12/10/2020
Maintains,JP Morgan,to Underweight,12/9/2020
Upgrade,Goldman Sachs,Neutral to Buy,12/3/2020
Maintains,Wedbush,to Neutral,11/23/2020
Upgrade,Morgan Stanley,Equal-Weight to Overweight,11/18/2020
Maintains,B of A Securities,to Neutral,11/17/2020
Maintains,Citigroup,to Sell,10/27/2020
Maintains,Morgan Stanley,to Equal-Weight,10/23/2020
Maintains,Canaccord Genuity,to Hold,10/22/2020
Upgrade,Baird,Neutral to Outperform,10/22/2020
Upgrade,JMP Securities,Market Perform to Market Outperform,10/22/2020
Maintains,Wedbush,to Neutral,10/19/2020
Maintains,Morgan Stanley,to Equal-Weight,10/16/2020
Maintains,Goldman Sachs,to Neutral,10/14/2020
Maintains,Citigroup,to Sell,10/13/2020
Upgrade,New Street,Neutral to Buy,10/8/2020
Maintains,Baird,to Neutral,9/23/2020
Maintains,Canaccord Genuity,to Hold,9/23/2020
Upgrade,Deutsche Bank,Hold to Buy,9/23/2020
Maintains,Wedbush,to Neutral,9/18/2020
Maintains,Piper Sandler,to Overweight,9/18/2020
Maintains,Deutsche Bank,to Hold,9/16/2020
Maintains,Credit Suisse,to Neutral,9/16/2020
Maintains,UBS,to Neutral,9/11/2020
Maintains,Oppenheimer,to Outperform,9/23/2020
Reiterates,Bank of America,to Neutral,9/2/2020
Maintains,RBC Capital,to Underperform,9/1/2020
Maintains,Argus Research,to Buy,8/31/2020
Maintains,Wedbush,to Neutral,9/23/2020
Maintains,Jefferies,to Buy,9/23/2020
Maintains,Wedbush,to Neutral,8/17/2020
Upgrade,B of A Securities,Underperform to Neutral,9/23/2020
Upgrade,Morgan Stanley,Underweight to Equal-Weight,9/23/2020
Maintains,Citigroup,to Sell,8/4/2020
Maintains,Morgan Stanley,to Underweight,7/29/2020
Downgrade,Bernstein,Market Perform to Underperform,9/23/2020
Downgrade,Bernstein,Market Perform to Underperform,7/28/2020
Upgrade,Argus Research,Hold to Buy,7/24/2020
Downgrade,Daiwa Capital,Outperform to Neutral,9/23/2020
Maintains,Oppenheimer,to Outperform,7/23/2020
Maintains,Deutsche Bank,to Hold,9/23/2020
Maintains,Goldman Sachs,to Neutral,9/23/2020
Maintains,Canaccord Genuity,to Hold,9/23/2020
Downgrade,New Street,Buy to Neutral,7/23/2020
Maintains,RBC Capital,to Underperform,7/23/2020
Maintains,Piper Sandler,to Overweight,7/23/2020
Maintains,Wedbush,to Neutral,7/23/2020
Upgrade,Cowen & Co.,Underperform to Market Perform,9/23/2020
Maintains,B of A Securities,to Underperform,7/22/2020
Downgrade,JMP Securities,Market Outperform to Market Perform,7/21/2020
Maintains,Credit Suisse,to Neutral,9/23/2020
Maintains,Piper Sandler,to Overweight,9/23/2020
Upgrade,Roth Capital,Sell to Neutral,9/23/2020
Maintains,Morgan Stanley,to Underweight,7/7/2020
Maintains,JP Morgan,to Underweight,9/23/2020
Maintains,Wedbush,to Neutral,7/2/2020
Maintains,UBS,to Neutral,7/1/2020
Downgrade,Goldman Sachs,Buy to Neutral,6/12/2020
Downgrade,Morgan Stanley,Equal-Weight to Underweight,6/12/2020
Maintains,Wedbush,to Neutral,6/10/2020
Initiated,Daiwa Capital,to Outperform,5/29/2020
Maintains,Wedbush,to Neutral,5/27/2020
Maintains,JMP Securities,to Market Outperform,5/19/2020
Maintains,Morgan Stanley,to Equal-Weight,5/4/2020
Maintains,Oppenheimer,to Outperform,4/30/2020
Reiterates,B of A Securities,to Underperform,4/30/2020
Maintains,JMP Securities,to Market Outperform,4/30/2020
Maintains,Wedbush,to Neutral,4/30/2020
Maintains,Credit Suisse,to Neutral,4/30/2020
Maintains,Piper Sandler,to Overweight,4/30/2020
Downgrade,B of A Securities,Neutral to Underperform,4/22/2020
Initiated,Goldman Sachs,to Buy,4/15/2020
Upgrade,Credit Suisse,Underperform to Neutral,4/14/2020
Upgrade,Jefferies,Hold to Buy,4/6/2020
Maintains,Piper Sandler,to Overweight,3/27/2020
Maintains,Morgan Stanley,to Equal-Weight,3/24/2020
Downgrade,Argus Research,Buy to Hold,3/24/2020
Maintains,Citigroup,to Sell,3/24/2020
Upgrade,UBS,Sell to Neutral,3/24/2020
Maintains,Canaccord Genuity,to Hold,3/19/2020
Maintains,Wedbush,to Neutral,3/19/2020
Upgrade,Morgan Stanley,Underweight to Equal-Weight,3/19/2020
Upgrade,B of A Securities,Underperform to Neutral,3/18/2020
Maintains,Morgan Stanley,to Underweight,3/12/2020
Upgrade,JMP Securities,Market Perform to Market Outperform,3/3/2020
Downgrade,Jefferies,Buy to Hold,2/25/2020
Maintains,Cowen & Co.,to Underperform,2/18/2020
Maintains,Morgan Stanley,to Underweight,2/18/2020
Maintains,Bernstein,to Market Perform,2/18/2020
Downgrade,Canaccord Genuity,Buy to Hold,2/5/2020
Downgrade,New Street,Buy to Neutral,2/4/2020
Reiterates,Argus Research,to Buy,2/3/2020
Maintains,Oppenheimer,to Outperform,1/30/2020
Maintains,B of A Securities,to Underperform,1/30/2020
Maintains,Canaccord Genuity,to Buy,1/30/2020
Maintains,Credit Suisse,to Underperform,1/30/2020
Maintains,Roth Capital,to Sell,1/30/2020
Maintains,RBC Capital,to Underperform,1/30/2020
Maintains,Baird,to Neutral,9/23/2020
Maintains,Deutsche bank,to Hold,9/23/2020
Maintains,Piper Sandler,to Overweight,1/30/2020
Maintains,B of A Securities,to Underperform,1/29/2020
Downgrade,Exane BNP Paribas,Outperform to Neutral,9/23/2020
Maintains,Wedbush,to Neutral,1/22/2020
Maintains,New Street,to Buy,1/21/2020
Downgrade,Morgan Stanley,Equal-Weight to Underweight,1/16/2020
Maintains,Jefferies,to Buy,1/14/2020
Maintains,Oppenheimer,to Outperform,1/13/2020
Maintains,Piper Sandler,to Overweight,1/10/2020
Downgrade,CFRA,Hold to Sell,9/23/2020
Downgrade,Baird,Outperform to Neutral,1/9/2020
Maintains,RBC Capital,to Underperform,1/6/2020
Maintains,Canaccord Genuity,to Buy,1/2/2020
Maintains,Cowen & Co.,to Underperform,12/30/2019
Maintains,Wedbush,to Neutral,12/26/2019
Maintains,Exane BNP Paribas,to Buy,12/10/2019
Maintains,Morgan Stanley,to Equal-Weight,12/6/2019
Maintains,Citigroup,to Sell,12/4/2019
Maintains,PiperJaffray,to Overweight,9/23/2020
Downgrade,China Renaissance,Buy to Hold,9/23/2020
Maintains,Deutsche Bank,to Hold,11/18/2019
