Change,Analyst,Recommendation,Date
Downgrade,Williams Trading,Buy to Hold,12/8/2022
Maintains,UBS,to Neutral,11/14/2022
Maintains,Telsey Advisory Group,to Market Perform,11/10/2022
Upgrade,Williams Trading,Hold to Buy,10/20/2022
Downgrade,Argus Research,Buy to Hold,8/18/2022
Downgrade,Williams Capital,Buy to Hold,7/25/2022
Maintains,Telsey Advisory Group,to Market Perform,5/12/2022
Maintains,UBS,to Neutral,3/8/2022
Maintains,Telsey Advisory Group,to Market Perform,2/24/2022
Maintains,Telsey Advisory Group,to Market Perform,2/16/2022
Initiated,Seaport Global,to Neutral,1/18/2022
Downgrade,Baird,Outperform to Neutral,1/4/2022
Upgrade,Exane BNP Paribas,Neutral to Outperform,8/10/2021
Maintains,Telsey Advisory Group,to Market Perform,8/4/2021
Maintains,Telsey Advisory Group,to Market Perform,7/30/2021
Maintains,Telsey Advisory Group,to Market Perform,5/6/2021
Maintains,KeyBanc,to Overweight,12/7/2020
Maintains,KeyBanc,to Overweight,10/27/2020
Maintains,Wedbush,to Outperform,10/26/2020
Maintains,Piper Sandler,to Neutral,9/30/2020
Upgrade,Pivotal Research,Hold to Buy,7/27/2020
Maintains,KeyBanc,to Overweight,6/4/2020
Maintains,Stifel,to Buy,5/21/2020
Upgrade,KeyBanc,Sector Weight to Overweight,5/1/2020
Downgrade,Susquehanna,Positive to Neutral,4/23/2020
Maintains,Stifel,to Buy,4/14/2020
Maintains,Susquehanna,to Positive,4/6/2020
Upgrade,Argus Research,Hold to Buy,11/18/2019
Maintains,Stifel Nicolaus,to Buy,11/8/2019
Downgrade,Argus,Buy to Hold,5/17/2019
Maintains,Baird,Outperform to Outperform,11/8/2018
Maintains,Citigroup,Neutral to Neutral,8/30/2018
Maintains,Argus,Buy to Buy,8/17/2018
Maintains,Buckingham,Neutral to Neutral,8/16/2018
Maintains,Wedbush,Outperform to Outperform,8/6/2018
Upgrade,Susquehanna,Neutral to Positive,8/1/2018
Upgrade,CL King,Buy to Strong Buy,7/17/2018
Upgrade,Argus,Hold to Buy,5/30/2018
Upgrade,Susquehanna,Negative to Neutral,5/10/2018
Maintains,Citigroup,Neutral to Neutral,2/22/2018
Upgrade,DA Davidson,Neutral to Buy,2/22/2018
Maintains,Buckingham,to Neutral,11/9/2017
Initiated,Pivotal Research,to Hold,10/5/2017
Maintains,Morgan Stanley,to Equal-Weight,9/25/2017
Upgrade,Baird,Neutral to Outperform,5/17/2017
Initiated,Wedbush,to Outperform,11/1/2016
Maintains,B. Riley FBR,to Neutral,5/5/2018
Initiated,Susquehanna,to Negative,8/12/2016
Upgrade,Susquehanna,Neutral to Positive,7/7/2016
Downgrade,Sterne Agee CRT,Neutral to Underperform,4/27/2016
Maintains,PiperJaffray,to Neutral,1/5/2016
Upgrade,Sterne Agee CRT,Underperform to Neutral,1/5/2016
Maintains,KeyBanc,to Overweight,11/11/2015
Maintains,Stifel Nicolaus,to Buy,10/21/2015
Maintains,Citigroup,to Neutral,10/21/2015
Maintains,B. Riley FBR,to Neutral,5/5/2018
Downgrade,Sterne Agee CRT,Neutral to Underperform,10/21/2015
Upgrade,Citigroup,Sell to Neutral,9/23/2015
Maintains,Susquehanna,to Neutral,9/18/2015
Downgrade,Baird,to Neutral,9/18/2015
Downgrade,DA Davidson,to Neutral,9/17/2015
