Date,Headline
11/01/2022,"Leidos Holdings (LDOS) Q3 Earnings Beat, Revenues Rise Y/Y"
10/31/2022,Rocket maker Firefly Aerospace looks to raise up to $300 mln -sources
10/28/2022,ERJ vs. NOC: Which Stock Is the Better Value Option?
10/28/2022,"Company News for Oct 28, 2022"
10/27/2022,Northrop Grumman (NOC) Q3 2022 Earnings Call Transcript
10/27/2022,"Noteworthy Thursday Option Activity: FANG, NOC, F"
10/27/2022,"Northrop Grumman (NOC) Q3 Earnings Miss, Sales Rise Y/Y"
10/27/2022,Northrop Grumman (NOC) Lags Q3 Earnings and Revenue Estimates
10/27/2022,"Northrop Grumman Reports Lower Q3 Profit, But Sales Improve"
10/26/2022,"Pre-Market Earnings Report for October 27, 2022 : MA, MRK, MCD, LIN, CMCSA, HON, SPGI, CAT, AMT, MO, NOC, SO"
10/26/2022,"Aerospace & Defense Q3 Earnings Due on Oct 27: TXT, NOC & LHX"
10/26/2022,What's Next For Lockheed Martin Stock After A 17% Rise In A Week?
10/25/2022,Why Aerospace & Defense ETFs are Rising
10/22/2022,Here's the Best Space Stock to Buy If You Want Passive Income
10/21/2022,Why Northrop Grumman (NOC) Could Beat Earnings Estimates Again
10/21/2022,Will Segmental Sales Benefit Northrop's (NOC) Q3 Earnings?
10/21/2022,ANALYSIS-U.S. Republicans aim at Ukraine aid but unlikely to block it
10/20/2022,Earnings Preview: Northrop Grumman (NOC) Q3 Earnings Expected to Decline
10/19/2022,"Webb Space Telescope renders Pillars of Creation with new depth, clarity"
10/19/2022,Northrop Grumman (NOC) Gains As Market Dips: What You Should Know
10/19/2022,Northrop Grumman (NOC) Gains As Market Dips: What You Should Know
10/19/2022,"Noteworthy Wednesday Option Activity: SRPT, PRG, NOC"
10/19/2022,"Noteworthy ETF Outflows: IVE, CI, CB, NOC"
10/18/2022,ANALYSIS-Japan rushes to rearm with eye on 2027 - and China's Taiwan ambitions
10/18/2022,"Tuesday Sector Leaders: Defense, Waste Management Stocks"
10/18/2022,Lockheed Martin (LMT) Tops Q3 Earnings Estimates
10/17/2022,Northrop Grumman Corp. Shares Approach 52-Week High - Market Mover
10/17/2022,L3Harris (LHX) Clinches $61M Deal to Supply Bomb Rack Unit
10/17/2022,General Dynamics (GD) Wins $18.1M Deal for Trident II SWS
10/16/2022,"Firefly Launches, Northrop Grumman Cheers"
10/14/2022,"Friday Sector Laggards: Precious Metals, Defense Stocks"
10/14/2022,Northrop (NOC) Arm Wins $12.7M Deal for E-2D Advanced Hawkeye
10/13/2022,Northrop Grumman (NOC) Gains But Lags Market: What You Should Know
10/13/2022,Boeing (BA) Clinches $85M Deal to Support P-8A Aircraft
10/12/2022,What To Expect From Lockheed Martin's Q3?
10/12/2022,Lockheed (LMT) Secures Contract to Support CH-53K Aircraft
10/11/2022,"Noteworthy Tuesday Option Activity: NOC, AGNC, PEP"
10/11/2022,Lockheed Martin (LMT) Wins Contract for M299 Missile Launcher
10/10/2022,Northrop Grumman (NOC) Gains As Market Dips: What You Should Know
10/10/2022,We Think Northrop Grumman (NYSE:NOC) Can Stay On Top Of Its Debt
10/10/2022,Lockheed (LMT) Wins Deal to Support F-35 Fighter Aircraft
10/10/2022,Raytheon (RTX) Wins $13.4M Contract to Support MTS Sensors
10/10/2022,This Aerospace Components Maker Appears To Be A Better Pick Over Northrop Grumman Stock
10/7/2022,"Friday Sector Leaders: Oil & Gas Equipment & Services, Defense Stocks"
10/7/2022,General Dynamics (GD) Wins Virginia-Class Navy Submarine Deal
10/5/2022,Raytheon (RTX) Wins Deal to Support ESSM Block 2 Production
10/5/2022,Lockheed (LMT) Wins $152M Deal to Support F-35 Combat Jet
10/4/2022,"Notable Tuesday Option Activity: NOC, F, HES"
10/4/2022,Lockheed (LMT) Wins $115M Deal to Support F-35 Fighter Jets
10/4/2022,Everyone Could Win in this New Space Race
10/4/2022,Raytheon Bags $1B Hypersonic Missile Contract
10/3/2022,Rocket builder Firefly nails crucial milestone with first mission success
10/3/2022,Boeing (BA) Wins $192M Deal to Support F/A-18E/F & E/A-18G Jets
09/30/2022,Northrop Grumman (NOC) Stock Moves -0.03%: What You Should Know
09/30/2022,Raytheon (RTX) Secures Deal for APG-79 AESA Radar System
09/30/2022,General Dynamics (GD) Wins Deal for Virginia-class Submarines
09/29/2022,Boeing (BA) Wins $169M Deal to Assist F/A-18E/F & E/A-18G Jets
09/29/2022,Northrop (NOC) Arm Wins $31.8M Deal for SEWIP Production
09/28/2022,Raytheon (RTX) Wins Deal to Support Kuwait's AN/APG-79 Radar
09/28/2022,Is There More Upside For Northrop Grumman Stock?
09/27/2022,Raytheon (RTX) Wins Contract for F-135 Propulsion Systems
09/27/2022,AeroVironment (AVAV) Clinches $20.6M Deal for Switchblade 300
09/26/2022,ERJ vs. NOC: Which Stock Is the Better Value Option?
09/26/2022,Raytheon (RTX) Clinches $160M Contract for Dual Band Radar
09/23/2022,Raytheon (RTX) Wins $985M Deal to Deliver Hypersonic Missile
09/23/2022,Boeing (BA) Secures Navy Deal to Support P-8A Combat Jets
09/22/2022,LMT vs. NOC: Which Defense Stock Do Analysts Like Best?
09/22/2022,Northrop Grumman (NOC) Secures Air Force Deal for AESA Radars
09/21/2022,Northrop Grumman (NOC) Stock Moves -0.23%: What You Should Know
09/21/2022,Boeing (BA) Wins $52M Navy Deal to Support EA-18G Aircraft
09/21/2022,US STOCKS-Wall Street rises ahead of likely hefty rate hike by Fed
09/21/2022,General Dynamics (GD) Wins $415M Deal to Aid Military Tanks
09/21/2022,US STOCKS-Wall Street rises ahead of Fed rate-hike decision
09/21/2022,Wall Street eyes higher open as investors gird for another big rate hike
09/21/2022,US STOCKS-Futures edge higher as investors gird for another big rate hike
09/21/2022,US STOCKS-Futures flat as investors gird for another big rate hike
09/20/2022,"Notable Tuesday Option Activity: CWH, HAS, NOC"
