Date,Headline
11/01/2022,Oil Services Stocks & ETFs Jump on Blockbuster Earnings
10/31/2022,"The Zacks Analyst Blog Highlights Schlumberger, Halliburton, OIH, IEZ and XLE"
10/31/2022,"HAL, XOM, SLB: Which Energy Stock Has More Room to Run?"
10/31/2022,"Energy Sector Update for 10/31/2022: SHEL, HLX, HAL, SLB, LIN, XLE, USO, UNG"
10/28/2022,"Friday Sector Laggards: Energy, Materials"
10/28/2022,Are You Looking for a Top Momentum Pick? Why Schlumberger (SLB) is a Great Choice
10/28/2022,"Chevron (CVX) Tops Q3 Earnings on Strong Prices, Margins"
10/28/2022,Upbeat Earnings Boost Oil Services ETFs
11/01/2022,Oil Services Stocks & ETFs Jump on Blockbuster Earnings
10/31/2022,"The Zacks Analyst Blog Highlights Schlumberger, Halliburton, OIH, IEZ and XLE"
10/31/2022,"HAL, XOM, SLB: Which Energy Stock Has More Room to Run?"
10/31/2022,"Energy Sector Update for 10/31/2022: SHEL, HLX, HAL, SLB, LIN, XLE, USO, UNG"
10/28/2022,"Friday Sector Laggards: Energy, Materials"
10/28/2022,Are You Looking for a Top Momentum Pick? Why Schlumberger (SLB) is a Great Choice
10/28/2022,"Chevron (CVX) Tops Q3 Earnings on Strong Prices, Margins"
10/28/2022,Upbeat Earnings Boost Oil Services ETFs
11/01/2022,Oil Services Stocks & ETFs Jump on Blockbuster Earnings
10/31/2022,"The Zacks Analyst Blog Highlights Schlumberger, Halliburton, OIH, IEZ and XLE"
10/31/2022,"HAL, XOM, SLB: Which Energy Stock Has More Room to Run?"
10/31/2022,"Energy Sector Update for 10/31/2022: SHEL, HLX, HAL, SLB, LIN, XLE, USO, UNG"
10/28/2022,"Friday Sector Laggards: Energy, Materials"
10/28/2022,Are You Looking for a Top Momentum Pick? Why Schlumberger (SLB) is a Great Choice
10/28/2022,"Chevron (CVX) Tops Q3 Earnings on Strong Prices, Margins"
10/28/2022,Upbeat Earnings Boost Oil Services ETFs
10/28/2022,"Zacks.com featured highlights include Heritage-Crystal Clean, Cadence Design Systems, McKesson and Schlumberger"
10/28/2022,This Energy Stock Is Set to Soar
10/27/2022,"Shell (SHEL) Misses on Q3 Earnings, Ups Shareholder Returns"
10/27/2022,Pick These 4 Stocks With Excellent Interest Coverage Ratio
10/27/2022,Should You Invest in the iShares U.S. Oil Equipment & Services ETF (IEZ)?
10/26/2022,Should You Buy Schlumberger (SLB) After Golden Cross?
10/26/2022,Schlumberger Limited (SLB) Is a Trending Stock: Facts to Know Before Betting on It
10/25/2022,Will Price Gains Buoy Chevron's (CVX) Q3 Upstream Earnings?
10/25/2022,Halliburton profit rises as higher oil prices spark drilling demand
10/24/2022,"Energy Sector Update for 10/24/2022: SLB,WFRD,CLR,KEX"
10/24/2022,Monday's ETF with Unusual Volume: PXJ
10/24/2022,SLB Crosses Above Average Analyst Target
10/24/2022,Stocks rally on hopes of less hawkish Fed
10/24/2022,"Company News for Oct 24, 2022"
10/24/2022,"Energy Sector Update for 10/24/2022: SLB, CLR, XLE, USO, UNG"
10/24/2022,Schlumberger Limited (SLB) Hits Fresh High: Is There Still Room to Run?
10/21/2022,Schlumberger (SLB) Beats Earnings & Revenue Estimates in Q3
10/21/2022,US STOCKS-Nasdaq futures slide 1% as Snap's ad warning spurs social media selloff
10/21/2022,Schlumberger (SLB) Tops Q3 Earnings and Revenue Estimates
10/21/2022,Schlumberger third-quarter profit jumps as drilling activity picks up
10/21/2022,Schlumberger Q3 22 Earnings Conference Call AT 9:30 AM ET
10/21/2022,Schlumberger Ltd. Q3 Profit Climbs
10/21/2022,Schlumberger third-quarter profit jumps 65%
10/20/2022,"Pre-Market Earnings Report for October 21, 2022 : VZ, AXP, SLB, HCA, HBAN, RF, IPG, ALV, EEFT, SMPL, CPF, SPFI"
10/20/2022,"Pre-Market Earnings Report for October 21, 2022 : VZ, AXP, SLB, HCA, HBAN, RF, IPG, ALV, EEFT, SMPL, CPF, SPFI"
10/20/2022,What's in the Offing for Valero Energy's (VLO) Q3 Earnings?
10/20/2022,"The Zacks Analyst Blog Highlights Schlumberger, Halliburton and Chesapeake Energy"
10/20/2022,Schlumberger evaluates options for Russia staff as Ukraine war escalates -CEO
10/20/2022,"Halliburton Stock Up 14% Over Last Ten Days, Can It Keep Up?"
10/19/2022,Schlumberger evaluates options for Russia staff as Ukraine war escalates -CEO
10/19/2022,Schlumberger Q3 Preview: Double-Digit Earnings Growth in Store?
10/19/2022,"Noteworthy Wednesday Option Activity: SLB, MNST, AAL"
10/19/2022,Is a Beat in the Offing for NexTier (NEX) in Q3 Earnings?
10/19/2022,Is a Beat in Store for Range Resources (RRC) in Q3 Earnings?
10/19/2022,3 Energy Stocks Poised to Outshine Earnings Estimates in Q3
10/19/2022,Baker Hughes (BKR) Q3 Earnings Beat Estimates
10/18/2022,Schlumberger Limited (NYSE:SLB) is a favorite amongst institutional investors who own 82%
10/18/2022,Halliburton (HAL) Earnings Expected to Grow: Should You Buy?
10/18/2022,Is a Beat in Store for Schlumberger (SLB) in Q3 Earnings?
10/18/2022,"U.S. oil service firms' results to show impact of demand, inflation"
10/17/2022,Schlumberger (SLB) Gains But Lags Market: What You Should Know
10/17/2022,What's In Store for Oil Services ETFs in Q3 Earnings Season?
10/17/2022,What's in the Offing for Baker Hughes' (BKR) Q3 Earnings?
10/17/2022,What's in the Offing for Kinder Morgan's (KMI) Q3 Earnings?
10/14/2022,EXCLUSIVE-Schlumberger faces employee backlash in Russia over cooperation on draft
10/14/2022,EXCLUSIVE-Schlumberger faces employee backlash in Russia over cooperation on draft
10/14/2022,SLB or CLB: Which Is the Better Value Stock Right Now?
10/14/2022,Schlumberger (SLB) Earnings Expected to Grow: What to Know Ahead of Next Week's Release
10/14/2022,Schlumberger (SLB) Looking to Divest US Valves Business
10/14/2022,Investors Heavily Search Schlumberger Limited (SLB): Here is What You Need to Know
10/14/2022,Is Baker Hughes' Stock a Buy?
10/13/2022,"Energy Sector Update for 10/13/2022: BWXT,USEA,SLB,NCSM"
10/13/2022,"Energy Sector Update for 10/13/2022: USEA,SLB,NCSM"
10/13/2022,SLB December 2nd Options Begin Trading
10/13/2022,The Energy Select Sector SPDR Fund Experiences Big Inflow
10/13/2022,Are You a Momentum Investor? This 1 Stock Could Be the Perfect Pick
10/13/2022,"Zacks Industry Outlook Highlights Schlumberger, Halliburton, RPC and ProPetro"
10/12/2022,4 Oilfield Services Stocks to Gain From the Promising Industry
10/10/2022,Schlumberger (SLB) Dips More Than Broader Markets: What You Should Know
10/7/2022,Schlumberger (SLB) Gains As Market Dips: What You Should Know
10/6/2022,Occidental Petroleum Stock Up 13% In A Week. Here's Why?
10/6/2022,Why Schlumberger (SLB) Could Beat Earnings Estimates Again
10/6/2022,Schlumberger (SLB) Surges 6.3%: Is This an Indication of Further Gains?
10/6/2022,November 25th Options Now Available For Schlumberger (SLB)
10/6/2022,"Oil Climbs on OPEC's Big Supply Cut, Energy Names Rally"
10/6/2022,OPEC+ Production Cut: Watch These Energy Stocks Boom
10/5/2022,Buy these 3 Energy Stocks?
